operation,data_type,thread,iteration,vec_length,n_length,buffer_size,measured,predicted,error_percent
MATMUL,uint32_t,1,16,16,16,16,2.466000,2.343707,-4.96
MATMUL,uint32_t,1,16,16,16,8,2.678667,2.515108,-6.11
MATMUL,uint32_t,1,16,16,16,4,3.125667,2.959606,-5.31
MATMUL,uint32_t,1,16,16,32,4,6.220000,5.846665,-6.00
MATMUL,uint32_t,1,16,16,32,16,4.879667,4.614866,-5.43
MATMUL,uint32_t,1,16,16,32,8,5.283333,4.957668,-6.16
MATMUL,uint32_t,1,16,16,64,8,10.474667,9.842788,-6.03
MATMUL,uint32_t,1,16,16,64,4,12.354333,11.620781,-5.94
MATMUL,uint32_t,1,16,16,64,16,9.705333,9.157184,-5.65
MATMUL,uint32_t,1,16,16,128,16,19.351667,18.241819,-5.74
MATMUL,uint32_t,1,16,16,128,4,24.645333,23.169014,-5.99
MATMUL,uint32_t,1,16,16,128,8,20.905667,19.613028,-6.18
MATMUL,uint32_t,1,16,16,256,16,38.633333,36.411090,-5.75
MATMUL,uint32_t,1,16,16,256,4,49.240667,46.265481,-6.04
MATMUL,uint32_t,1,16,16,256,8,41.725333,39.153508,-6.16
MATMUL,uint32_t,1,16,32,16,4,6.065667,5.735744,-5.44
MATMUL,uint32_t,1,16,32,16,8,5.202000,4.889435,-6.01
MATMUL,uint32_t,1,16,32,16,16,4.829333,4.567680,-5.42
MATMUL,uint32_t,1,16,32,32,8,10.410667,9.706322,-6.77
MATMUL,uint32_t,1,16,32,32,4,12.111000,11.398939,-5.88
MATMUL,uint32_t,1,16,16,512,4,98.460333,92.458413,-6.10
MATMUL,uint32_t,1,16,32,32,16,9.604333,9.062811,-5.64
MATMUL,uint32_t,1,16,32,32,32,9.270667,8.746203,-5.66
MATMUL,uint32_t,1,16,16,512,16,77.210667,72.749632,-5.78
MATMUL,uint32_t,1,16,16,512,8,83.412333,78.234468,-6.21
MATMUL,uint32_t,1,16,32,64,4,24.151667,22.725330,-5.91
MATMUL,uint32_t,1,16,32,64,16,19.156000,18.053074,-5.76
MATMUL,uint32_t,1,16,32,64,8,20.617667,19.340096,-6.20
