operation,data_type,thread,iteration,vec_length,n_length,buffer_size,measured,predicted,error_percent
MATMUL,uint32_t,1,16,16,16,16,2.466000,2.309010,-6.37
MATMUL,uint32_t,1,16,16,16,8,2.678667,2.428617,-9.33
MATMUL,uint32_t,1,16,16,16,4,3.125667,2.730304,-12.65
MATMUL,uint32_t,1,16,16,32,4,6.220000,5.392082,-13.31
MATMUL,uint32_t,1,16,16,32,16,4.879667,4.549494,-6.77
MATMUL,uint32_t,1,16,16,32,8,5.283333,4.788708,-9.36
MATMUL,uint32_t,1,16,16,64,8,10.474667,9.508891,-9.22
MATMUL,uint32_t,1,16,16,64,4,12.354333,10.715638,-13.26
MATMUL,uint32_t,1,16,16,64,16,9.705333,9.030464,-6.95
MATMUL,uint32_t,1,16,16,128,16,19.351667,17.992402,-7.02
MATMUL,uint32_t,1,16,16,128,4,24.645333,21.362752,-13.32
MATMUL,uint32_t,1,16,16,128,8,20.905667,18.949257,-9.36
MATMUL,uint32_t,1,16,16,256,16,38.633333,35.916278,-7.03
MATMUL,uint32_t,1,16,16,256,4,49.240667,42.656978,-13.37
MATMUL,uint32_t,1,16,16,256,8,41.725333,37.829988,-9.34
MATMUL,uint32_t,1,16,32,16,4,6.065667,5.337481,-12.01
MATMUL,uint32_t,1,16,32,16,8,5.202000,4.744612,-8.79
MATMUL,uint32_t,1,16,32,16,16,4.829333,4.510354,-6.61
MATMUL,uint32_t,1,16,32,32,8,10.410667,9.420699,-9.51
MATMUL,uint32_t,1,16,32,32,4,12.111000,10.606436,-12.42
MATMUL,uint32_t,1,16,16,512,4,98.460333,85.245430,-13.42
MATMUL,uint32_t,1,16,32,32,16,9.604333,8.952182,-6.79
MATMUL,uint32_t,1,16,32,32,32,9.270667,8.703460,-6.12
MATMUL,uint32_t,1,16,16,512,16,77.210667,71.764032,-7.05
MATMUL,uint32_t,1,16,16,512,8,83.412333,75.591451,-9.38
MATMUL,uint32_t,1,16,32,64,4,24.151667,21.144347,-12.45
MATMUL,uint32_t,1,16,32,64,16,19.156000,17.835840,-6.89
MATMUL,uint32_t,1,16,32,64,8,20.617667,18.772873,-8.95
MATMUL,uint32_t,1,16,32,64,32,18.502000,17.338395,-6.29
MATMUL,uint32_t,1,16,32,128,8,41.144000,37.477220,-8.91
MATMUL,uint32_t,1,16,32,128,4,48.256333,42.220169,-12.51
MATMUL,uint32_t,1,16,32,128,32,36.934667,34.608265,-6.30
MATMUL,uint32_t,1,16,32,128,16,38.246000,35.603154,-6.91
MATMUL,uint32_t,1,16,32,256,8,82.313000,74.885915,-9.02
MATMUL,uint32_t,1,16,32,256,16,76.417333,71.137782,-6.91
MATMUL,uint32_t,1,16,32,256,4,96.366667,84.371812,-12.45
MATMUL,uint32_t,1,16,32,256,32,73.803333,69.148004,-6.31
MATMUL,uint32_t,1,16,64,16,4,12.009000,10.551835,-12.13
MATMUL,uint32_t,1,16,64,16,16,9.543000,8.913042,-6.60
MATMUL,uint32_t,1,16,64,16,8,10.271000,9.376603,-8.71
MATMUL,uint32_t,1,16,64,32,4,23.988000,21.035145,-12.31
MATMUL,uint32_t,1,16,32,512,32,147.611000,138.227483,-6.36
MATMUL,uint32_t,1,16,32,512,16,152.734000,142.207040,-6.89
MATMUL,uint32_t,1,16,64,32,16,19.047333,17.757558,-6.77
