operation,data_type,thread,iteration,vec_length,buffer_size,measured,predicted,error_percent
MATVEC,uint32_t,1,16,16,8,0.219000,0.220486,0.68
MATVEC,uint32_t,1,16,16,16,0.197000,0.207933,5.55
MATVEC,uint32_t,1,16,32,8,0.352667,0.362273,2.72
MATVEC,uint32_t,1,16,32,16,0.326667,0.337414,3.29
MATVEC,uint32_t,1,16,32,32,0.311667,0.323513,3.80
MATVEC,uint32_t,1,16,64,8,0.644000,0.645848,0.29
MATVEC,uint32_t,1,16,64,16,0.580333,0.596376,2.76
MATVEC,uint32_t,1,16,64,32,0.553000,0.568478,2.80
MATVEC,uint32_t,1,16,64,64,0.536667,0.555001,3.42
MATVEC,uint32_t,1,16,128,8,1.214333,1.212998,-0.11
MATVEC,uint32_t,1,16,128,16,1.095667,1.114301,1.70
MATVEC,uint32_t,1,16,128,32,1.065334,1.058407,-0.65
MATVEC,uint32_t,1,16,128,64,1.034555,1.031454,-0.30
MATVEC,uint32_t,1,16,128,128,1.013000,1.017950,0.49
MATVEC,uint32_t,1,16,256,8,2.369667,2.347297,-0.94
MATVEC,uint32_t,1,16,256,16,2.143333,2.150150,0.32
MATVEC,uint32_t,1,16,256,32,2.048000,2.038265,-0.48
MATVEC,uint32_t,1,16,256,64,1.974333,1.984359,0.51
MATVEC,uint32_t,1,16,256,128,1.964889,1.957351,-0.38
MATVEC,uint32_t,1,16,256,256,1.929333,1.945255,0.83
MATVEC,uint32_t,1,16,512,8,4.669667,4.615896,-1.15
MATVEC,uint32_t,1,16,512,16,4.216333,4.221848,0.13
MATVEC,uint32_t,1,16,512,32,4.017333,3.997982,-0.48
MATVEC,uint32_t,1,16,512,64,3.886667,3.890169,0.09
MATVEC,uint32_t,1,16,512,128,3.829333,3.836153,0.18
MATVEC,uint32_t,1,16,512,256,3.806000,3.811961,0.16
MATVEC,uint32_t,1,16,1024,8,9.252000,9.153094,-1.07
MATVEC,uint32_t,1,16,1024,16,8.379444,8.365245,-0.17
MATVEC,uint32_t,1,16,1024,32,7.980556,7.917415,-0.79
MATVEC,uint32_t,1,16,1024,64,7.709667,7.701790,-0.10
MATVEC,uint32_t,1,16,1024,128,7.605222,7.593758,-0.15
MATVEC,uint32_t,1,16,1024,256,7.538000,7.545374,0.10
MATVEC,uint32_t,1,16,2048,8,18.442667,18.227489,-1.17
MATVEC,uint32_t,1,16,2048,16,16.652667,16.652038,-0.00
MATVEC,uint32_t,1,16,2048,32,16.034333,15.756281,-1.73
MATVEC,uint32_t,1,16,2048,64,15.345333,15.325031,-0.13
MATVEC,uint32_t,1,16,2048,128,15.128700,15.108967,-0.13
MATVEC,uint32_t,1,16,2048,256,15.007333,15.012199,0.03
MATVEC,uint32_t,1,16,4096,8,36.860333,36.376280,-1.31
MATVEC,uint32_t,1,16,4096,16,33.262667,33.225624,-0.11
MATVEC,uint32_t,1,16,4096,32,31.652333,31.434014,-0.69
MATVEC,uint32_t,1,16,4096,64,30.627000,30.571513,-0.18
MATVEC,uint32_t,1,16,4096,128,30.141667,30.139385,-0.01
MATVEC,uint32_t,1,16,4096,256,29.945000,29.945849,0.00
MATVEC,uint32_t,1,16,8192,8,73.647333,72.673862,-1.32
MATVEC,uint32_t,1,16,8192,16,68.476667,66.372797,-3.07
MATVEC,uint32_t,1,16,8192,32,63.221000,62.789479,-0.68
MATVEC,uint32_t,1,16,8192,64,61.196000,61.064478,-0.21
MATVEC,uint32_t,1,16,8192,128,60.218000,60.200222,-0.03
MATVEC,uint32_t,1,16,8192,256,59.829000,59.813150,-0.03
MATVEC,uint32_t,1,32,16,8,0.364333,0.374961,2.92
MATVEC,uint32_t,1,32,16,16,0.337333,0.349854,3.71
MATVEC,uint32_t,1,32,32,8,0.665444,0.658536,-1.04
MATVEC,uint32_t,1,32,32,16,0.594333,0.608817,2.44
MATVEC,uint32_t,1,32,32,32,0.569333,0.580544,1.97
MATVEC,uint32_t,1,32,64,8,1.229667,1.225685,-0.32
MATVEC,uint32_t,1,32,64,16,1.117333,1.126741,0.84
MATVEC,uint32_t,1,32,64,32,1.064778,1.070473,0.53
MATVEC,uint32_t,1,32,64,64,1.077667,1.043617,-3.16
MATVEC,uint32_t,1,32,128,8,2.380000,2.359985,-0.84
MATVEC,uint32_t,1,32,128,16,2.152000,2.162590,0.49
MATVEC,uint32_t,1,32,128,32,2.049667,2.050331,0.03
MATVEC,uint32_t,1,32,128,64,2.004000,1.996522,-0.37
MATVEC,uint32_t,1,32,128,128,1.956333,1.969514,0.67
MATVEC,uint32_t,1,32,256,8,4.683667,4.628584,-1.18
MATVEC,uint32_t,1,32,256,16,4.224667,4.234289,0.23
MATVEC,uint32_t,1,32,256,32,4.041667,4.010048,-0.78
MATVEC,uint32_t,1,32,256,64,3.895667,3.902332,0.17
MATVEC,uint32_t,1,32,256,128,3.838667,3.848316,0.25
MATVEC,uint32_t,1,32,256,256,3.812000,3.824124,0.32
MATVEC,uint32_t,1,32,512,8,9.296000,9.165781,-1.40
MATVEC,uint32_t,1,32,512,16,8.374000,8.377685,0.04
MATVEC,uint32_t,1,32,512,32,7.978000,7.929481,-0.61
MATVEC,uint32_t,1,32,512,64,7.722000,7.713953,-0.10
MATVEC,uint32_t,1,32,512,128,7.601333,7.605921,0.06
MATVEC,uint32_t,1,32,512,256,7.556333,7.557537,0.02
MATVEC,uint32_t,1,32,1024,8,18.496000,18.240177,-1.38
MATVEC,uint32_t,1,32,1024,16,16.687667,16.664478,-0.14
MATVEC,uint32_t,1,32,1024,32,15.897333,15.768347,-0.81
MATVEC,uint32_t,1,32,1024,64,15.380333,15.337194,-0.28
MATVEC,uint32_t,1,32,1024,128,15.140555,15.121130,-0.13
MATVEC,uint32_t,1,32,1024,256,15.038555,15.024362,-0.09
MATVEC,uint32_t,1,32,2048,8,36.939333,36.388968,-1.49
MATVEC,uint32_t,1,32,2048,16,33.292333,33.238065,-0.16
MATVEC,uint32_t,1,32,2048,32,31.683667,31.446080,-0.75
MATVEC,uint32_t,1,32,2048,64,30.644000,30.583676,-0.20
MATVEC,uint32_t,1,32,2048,128,30.193333,30.151548,-0.14
MATVEC,uint32_t,1,32,2048,256,29.969000,29.958012,-0.04
MATVEC,uint32_t,1,32,4096,8,73.793333,72.686549,-1.50
MATVEC,uint32_t,1,32,4096,16,66.496667,66.385237,-0.17
MATVEC,uint32_t,1,32,4096,32,63.250333,62.801545,-0.71
MATVEC,uint32_t,1,32,4096,64,61.196333,61.076641,-0.20
MATVEC,uint32_t,1,32,4096,128,60.245333,60.212385,-0.05
MATVEC,uint32_t,1,32,4096,256,59.857333,59.825313,-0.05
MATVEC,uint32_t,1,32,8192,8,147.431667,145.281713,-1.46
MATVEC,uint32_t,1,32,8192,16,132.921333,132.679582,-0.18
MATVEC,uint32_t,1,32,8192,32,126.541667,125.512475,-0.81
MATVEC,uint32_t,1,32,8192,64,122.351667,122.062570,-0.24
MATVEC,uint32_t,1,32,8192,128,120.462333,120.334058,-0.11
MATVEC,uint32_t,1,32,8192,256,119.638667,119.559914,-0.07
MATVEC,uint32_t,1,64,16,8,0.669000,0.683910,2.23
MATVEC,uint32_t,1,64,16,16,0.613667,0.633698,3.26
MATVEC,uint32_t,1,64,32,8,1.241667,1.251060,0.76
MATVEC,uint32_t,1,64,32,16,1.123000,1.151622,2.55
MATVEC,uint32_t,1,64,32,32,1.073000,1.095077,2.06
MATVEC,uint32_t,1,64,64,8,2.396667,2.385360,-0.47
MATVEC,uint32_t,1,64,64,16,2.170333,2.187472,0.79
MATVEC,uint32_t,1,64,64,32,2.050667,2.074935,1.18
MATVEC,uint32_t,1,64,64,64,1.994333,2.020756,1.32
MATVEC,uint32_t,1,64,128,8,4.691000,4.653958,-0.79
MATVEC,uint32_t,1,64,128,16,4.238333,4.259170,0.49
MATVEC,uint32_t,1,64,128,32,4.041333,4.034652,-0.17
MATVEC,uint32_t,1,64,128,64,3.913667,3.926567,0.33
MATVEC,uint32_t,1,64,128,128,3.897333,3.872648,-0.63
MATVEC,uint32_t,1,64,256,8,9.299000,9.191156,-1.16
MATVEC,uint32_t,1,64,256,16,8.394333,8.402566,0.10
MATVEC,uint32_t,1,64,256,32,8.030667,7.954085,-0.95
