operation,data_type,thread,iteration,vec_length,buffer_size,measured,predicted,error_percent
MATVEC,uint32_t,1,16,16,8,0.219000,0.200256,-8.56
MATVEC,uint32_t,1,16,16,16,0.197000,0.193481,-1.79
MATVEC,uint32_t,1,16,32,8,0.352667,0.330980,-6.15
MATVEC,uint32_t,1,16,32,16,0.326667,0.317430,-2.83
MATVEC,uint32_t,1,16,32,32,0.311667,0.308964,-0.87
MATVEC,uint32_t,1,16,64,8,0.644000,0.592429,-8.01
MATVEC,uint32_t,1,16,64,16,0.580333,0.565330,-2.59
MATVEC,uint32_t,1,16,64,32,0.553000,0.548397,-0.83
MATVEC,uint32_t,1,16,64,64,0.536667,0.540452,0.71
MATVEC,uint32_t,1,16,128,8,1.214333,1.115328,-8.15
MATVEC,uint32_t,1,16,128,16,1.095667,1.061129,-3.15
MATVEC,uint32_t,1,16,128,32,1.065334,1.027264,-3.57
MATVEC,uint32_t,1,16,128,64,1.034555,1.011373,-2.24
MATVEC,uint32_t,1,16,128,128,1.013000,1.003401,-0.95
MATVEC,uint32_t,1,16,256,8,2.369667,2.161124,-8.80
MATVEC,uint32_t,1,16,256,16,2.143333,2.052726,-4.23
MATVEC,uint32_t,1,16,256,32,2.048000,1.984996,-3.08
MATVEC,uint32_t,1,16,256,64,1.974333,1.953216,-1.07
MATVEC,uint32_t,1,16,256,128,1.964889,1.937270,-1.41
MATVEC,uint32_t,1,16,256,256,1.929333,1.930706,0.07
MATVEC,uint32_t,1,16,512,8,4.669667,4.252717,-8.93
MATVEC,uint32_t,1,16,512,16,4.216333,4.035922,-4.28
MATVEC,uint32_t,1,16,512,32,4.017333,3.900461,-2.91
MATVEC,uint32_t,1,16,512,64,3.886667,3.836900,-1.28
MATVEC,uint32_t,1,16,512,128,3.829333,3.805010,-0.64
MATVEC,uint32_t,1,16,512,256,3.806000,3.791881,-0.37
MATVEC,uint32_t,1,16,1024,8,9.252000,8.435904,-8.82
MATVEC,uint32_t,1,16,1024,16,8.379444,8.002313,-4.50
MATVEC,uint32_t,1,16,1024,32,7.980556,7.731392,-3.12
MATVEC,uint32_t,1,16,1024,64,7.709667,7.604269,-1.37
MATVEC,uint32_t,1,16,1024,128,7.605222,7.540489,-0.85
MATVEC,uint32_t,1,16,1024,256,7.538000,7.514230,-0.32
MATVEC,uint32_t,1,16,2048,8,18.442667,16.802276,-8.89
MATVEC,uint32_t,1,16,2048,16,16.652667,15.935094,-4.31
MATVEC,uint32_t,1,16,2048,32,16.034333,15.393252,-4.00
MATVEC,uint32_t,1,16,2048,64,15.345333,15.139008,-1.34
MATVEC,uint32_t,1,16,2048,128,15.128700,15.011446,-0.78
MATVEC,uint32_t,1,16,2048,256,15.007333,14.958930,-0.32
MATVEC,uint32_t,1,16,4096,8,36.860333,33.535021,-9.02
MATVEC,uint32_t,1,16,4096,16,33.262667,31.800658,-4.40
MATVEC,uint32_t,1,16,4096,32,31.652333,30.716973,-2.96
MATVEC,uint32_t,1,16,4096,64,30.627000,30.208484,-1.37
MATVEC,uint32_t,1,16,4096,128,30.141667,29.953362,-0.62
MATVEC,uint32_t,1,16,4096,256,29.945000,29.848329,-0.32
MATVEC,uint32_t,1,16,8192,8,73.647333,67.000512,-9.03
MATVEC,uint32_t,1,16,8192,16,68.476667,63.531785,-7.22
