dim,cycle,predicted,error_percent
131072,735,723.00,-1.63
262144,1061,1033.00,-2.64
393216,1387,1343.00,-3.17
524288,1713,1653.00,-3.50
655360,2040,1963.00,-3.77
786432,2711,2637.00,-2.73
917504,3037,2947.00,-2.96
1048576,3363,3257.00,-3.15
1179648,3689,3567.00,-3.31
1310720,4015,3877.00,-3.44
1441792,4341,4187.00,-3.55
1572864,4667,4497.00,-3.64
1703936,4993,4807.00,-3.73
1835008,5319,5117.00,-3.80
1966080,5645,5427.00,-3.86
2097152,6321,5737.00,-9.24
2228224,6669,6411.00,-3.87
2359296,6995,6721.00,-3.92
2490368,7321,7031.00,-3.96
2621440,7647,7341.00,-4.00
2752512,7973,7651.00,-4.04
2883584,8300,7961.00,-4.08
3014656,8626,8271.00,-4.12
3145728,8952,8581.00,-4.14
3276800,9278,8891.00,-4.17
3407872,9604,9201.00,-4.20
3538944,10267,9511.00,-7.36
3670016,10620,9821.00,-7.52
3801088,10946,10131.00,-7.45
3932160,11272,10805.00,-4.14
4063232,11598,11115.00,-4.16
4194304,11925,11425.00,-4.19
4325376,12251,11735.00,-4.21
4456448,12577,12045.00,-4.23
4587520,12903,12355.00,-4.25
4718592,13229,12665.00,-4.26
4849664,13555,12975.00,-4.28
4980736,14218,13285.00,-6.56
5111808,14571,13595.00,-6.70
5242880,14897,13905.00,-6.66
5373952,15223,14215.00,-6.62
5505024,15549,14525.00,-6.59
5636096,15876,15199.00,-4.26
5767168,16202,15509.00,-4.28
5898240,16528,15819.00,-4.29
6029312,16854,16129.00,-4.30
6160384,17180,16439.00,-4.31
6291456,17506,16749.00,-4.32
6422528,18204,17059.00,-6.29
6553600,18530,17369.00,-6.27
6684672,18856,17679.00,-6.24
6815744,19182,17989.00,-6.22
6946816,19508,18299.00,-6.20
7077888,19835,18609.00,-6.18
7208960,20161,18919.00,-6.16
7340032,20487,19593.00,-4.36
7471104,20813,19903.00,-4.37
7602176,21139,20213.00,-4.38
7733248,21465,20523.00,-4.39
7864320,22159,20833.00,-5.98
7995392,22485,21143.00,-5.97
8126464,22811,21453.00,-5.95
8257536,23137,21763.00,-5.94
8388608,23463,22073.00,-5.92
8519680,23790,22383.00,-5.91
8650752,24116,22693.00,-5.90
8781824,24442,23003.00,-5.89
8912896,24768,23313.00,-5.87
9043968,25094,23987.00,-4.41
9175040,25421,24297.00,-4.42
9306112,26110,24607.00,-5.76
9437184,26436,24917.00,-5.75
9568256,26762,25227.00,-5.74
9699328,27088,25537.00,-5.73
9830400,27414,25847.00,-5.72
9961472,27741,26157.00,-5.71
10092544,28067,26467.00,-5.70
10223616,28393,26777.00,-5.69
10354688,28719,27087.00,-5.68
10485760,29045,27397.00,-5.67
10616832,29721,27707.00,-6.78
10747904,30069,28381.00,-5.61
10878976,30395,28691.00,-5.61
11010048,30721,29001.00,-5.60
11141120,31047,29311.00,-5.59
11272192,31373,29621.00,-5.58
11403264,31700,29931.00,-5.58
11534336,32026,30241.00,-5.57
11665408,32352,30551.00,-5.57
11796480,32678,30861.00,-5.56
11927552,33004,31171.00,-5.55
12058624,33667,31481.00,-6.49
12189696,34020,31791.00,-6.55
12320768,34346,32101.00,-6.54
12451840,34672,32775.00,-5.47
12582912,34998,33085.00,-5.47
12713984,35325,33395.00,-5.46
12845056,35651,33705.00,-5.46
12976128,35977,34015.00,-5.45
13107200,36303,34325.00,-5.45
13238272,36629,34635.00,-5.44
13369344,36955,34945.00,-5.44
13500416,37618,35255.00,-6.28
13631488,37971,35565.00,-6.34
13762560,38297,35875.00,-6.32
13893632,38623,36185.00,-6.31
14024704,38949,36495.00,-6.30
14155776,39276,37169.00,-5.36
14286848,39602,37479.00,-5.36
14417920,39928,37789.00,-5.36
14548992,40254,38099.00,-5.35
14680064,40580,38409.00,-5.35
14811136,40906,38719.00,-5.35
14942208,41604,39029.00,-6.19
15073280,41930,39339.00,-6.18
15204352,42256,39649.00,-6.17
15335424,42582,39959.00,-6.16
15466496,42908,40269.00,-6.15
15597568,43235,40579.00,-6.14
15728640,43561,40889.00,-6.13
15859712,43887,41563.00,-5.30
15990784,44213,41873.00,-5.29
16121856,44539,42183.00,-5.29
16252928,44865,42493.00,-5.29
16384000,45559,42803.00,-6.05
16515072,45885,43113.00,-6.04
16646144,46211,43423.00,-6.03
16777216,46537,43733.00,-6.03
