out,in,cycle,predicted,error_percent
128,128,750,770.00,2.67
128,256,1138,1205.00,5.89
128,512,1867,1965.00,5.25
128,1024,3662,3849.00,5.11
128,2048,6970,7253.00,4.06
128,4096,13166,13697.00,4.03
128,8192,26312,26949.00,2.42
128,16384,51834,53453.00,3.12
128,32768,103079,106825.00,3.63
128,65536,206240,212841.00,3.20
256,128,750,770.00,2.67
256,256,1138,1205.00,5.89
256,512,1867,1965.00,5.25
256,1024,3662,3849.00,5.11
256,2048,6970,7253.00,4.06
256,4096,13166,13697.00,4.03
256,8192,26312,26949.00,2.42
256,16384,51834,53453.00,3.12
256,32768,103079,106825.00,3.63
256,65536,206240,212841.00,3.20
512,128,750,770.00,2.67
512,256,1138,1205.00,5.89
512,512,1867,1965.00,5.25
512,1024,3662,3849.00,5.11
512,2048,6970,7253.00,4.06
512,4096,13166,13697.00,4.03
512,8192,26312,26949.00,2.42
512,16384,51834,53453.00,3.12
512,32768,103079,106825.00,3.63
512,65536,206240,212841.00,3.20
1024,128,750,770.00,2.67
1024,256,1138,1205.00,5.89
1024,512,1867,1965.00,5.25
1024,1024,3662,3849.00,5.11
1024,2048,6970,7253.00,4.06
1024,4096,13166,13697.00,4.03
1024,8192,26312,26949.00,2.42
1024,16384,51834,53453.00,3.12
1024,32768,103079,106825.00,3.63
1024,65536,206240,212841.00,3.20
2048,128,750,770.00,2.67
2048,256,1138,1205.00,5.89
2048,512,1867,1965.00,5.25
2048,1024,3662,3849.00,5.11
2048,2048,6970,7253.00,4.06
2048,4096,13166,13697.00,4.03
2048,8192,26312,26949.00,2.42
2048,16384,51834,53453.00,3.12
2048,32768,103079,106825.00,3.63
2048,65536,206240,212841.00,3.20
4096,128,750,770.00,2.67
4096,256,1138,1205.00,5.89
4096,512,1867,1965.00,5.25
4096,1024,3662,3849.00,5.11
4096,2048,6970,7253.00,4.06
4096,4096,13166,13697.00,4.03
4096,8192,26312,26949.00,2.42
4096,16384,51834,53453.00,3.12
4096,32768,103079,106825.00,3.63
4096,65536,206240,212841.00,3.20
8192,128,1169,1173.00,0.34
8192,256,1945,2407.00,23.75
8192,512,3767,3927.00,4.25
8192,1024,7037,7331.00,4.18
8192,2048,13218,13775.00,4.21
8192,4096,26337,27027.00,2.62
8192,8192,51905,53531.00,3.13
8192,16384,103220,106903.00,3.57
8192,32768,206240,212919.00,3.24
8192,65536,412118,425315.00,3.20
16384,128,2008,1979.00,-1.44
16384,256,3932,4083.00,3.84
16384,512,7176,7487.00,4.33
16384,1024,13389,13931.00,4.05
16384,2048,26494,27183.00,2.60
16384,4096,51941,53687.00,3.36
16384,8192,103384,107059.00,3.55
16384,16384,206510,213075.00,3.18
16384,32768,412049,425471.00,3.26
16384,65536,823212,849899.00,3.24
32768,128,4048,3955.00,-2.30
32768,256,7524,7799.00,3.65
32768,512,13686,14243.00,4.07
32768,1024,26823,27495.00,2.51
32768,2048,52321,53999.00,3.21
32768,4096,103929,107371.00,3.31
32768,8192,206740,213387.00,3.22
32768,16384,412548,425783.00,3.21
32768,32768,823373,850211.00,3.26
32768,65536,1646112,1699067.00,3.22
65536,128,7763,7543.00,-2.83
65536,256,14708,15231.00,3.56
65536,512,27407,28483.00,3.93
65536,1024,53222,54987.00,3.32
65536,2048,104646,107995.00,3.20
65536,4096,207286,214011.00,3.24
65536,8192,412977,426407.00,3.25
65536,16384,824191,850835.00,3.23
65536,32768,1646227,1700055.00,3.27
65536,65536,3291912,3398131.00,3.23
