i,cycle,predicted,error_percent
1,617,621.00,0.65
2,825,829.00,0.48
3,1033,1037.00,0.39
4,1241,1245.00,0.32
5,1449,1453.00,0.28
6,1657,1661.00,0.24
7,1865,1869.00,0.21
8,2423,2441.00,0.74
9,2645,2649.00,0.15
10,2853,2857.00,0.14
11,3061,3065.00,0.13
12,3269,3273.00,0.12
13,3477,3481.00,0.12
14,3685,3689.00,0.11
15,3893,3897.00,0.10
16,4101,4105.00,0.10
17,4309,4313.00,0.09
18,4517,4521.00,0.09
19,4725,4729.00,0.08
20,4933,4937.00,0.08
21,5141,5145.00,0.08
22,5349,5353.00,0.07
23,5557,5561.00,0.07
24,5765,5769.00,0.07
25,6323,5977.00,-5.47
26,6545,6549.00,0.06
27,6753,6757.00,0.06
28,6961,6965.00,0.06
29,7169,7173.00,0.06
30,7377,7381.00,0.05
31,7585,7589.00,0.05
32,7793,7797.00,0.05
33,8001,8005.00,0.05
34,8209,8213.00,0.05
35,8417,8421.00,0.05
36,8625,8629.00,0.05
37,8833,8837.00,0.05
38,9041,9045.00,0.04
39,9249,9253.00,0.04
40,9457,9461.00,0.04
41,9665,9669.00,0.04
42,10223,9877.00,-3.38
43,10445,10085.00,-3.45
44,10653,10293.00,-3.38
45,10861,10865.00,0.04
46,11069,11073.00,0.04
47,11277,11281.00,0.04
48,11485,11489.00,0.03
49,11693,11697.00,0.03
50,11901,11905.00,0.03
51,12109,12113.00,0.03
52,12317,12321.00,0.03
53,12525,12529.00,0.03
54,12733,12737.00,0.03
55,12941,12945.00,0.03
56,13149,13153.00,0.03
57,13357,13361.00,0.03
58,13565,13569.00,0.03
59,14123,13777.00,-2.45
60,14345,13985.00,-2.51
61,14553,14193.00,-2.47
62,14761,14401.00,-2.44
63,14969,14609.00,-2.40
64,15177,15181.00,0.03
65,15385,15389.00,0.03
66,15593,15597.00,0.03
67,15801,15805.00,0.03
68,16009,16013.00,0.02
69,16217,16221.00,0.02
70,16425,16429.00,0.02
71,16633,16637.00,0.02
72,16841,16845.00,0.02
73,17049,17053.00,0.02
74,17257,17261.00,0.02
75,17465,17469.00,0.02
76,18023,17677.00,-1.92
77,18245,17885.00,-1.97
78,18453,18093.00,-1.95
79,18661,18301.00,-1.93
80,18869,18509.00,-1.91
81,19077,18717.00,-1.89
82,19285,18925.00,-1.87
83,19493,19497.00,0.02
84,19701,19705.00,0.02
85,19909,19913.00,0.02
86,20117,20121.00,0.02
87,20325,20329.00,0.02
88,20533,20537.00,0.02
89,20741,20745.00,0.02
90,20949,20953.00,0.02
91,21157,21161.00,0.02
92,21365,21369.00,0.02
93,21923,21577.00,-1.58
94,22145,21785.00,-1.63
95,22353,21993.00,-1.61
96,22561,22201.00,-1.60
97,22769,22409.00,-1.58
98,22977,22617.00,-1.57
99,23185,22825.00,-1.55
100,23393,23033.00,-1.54
101,23601,23241.00,-1.53
102,23809,23449.00,-1.51
103,24017,24021.00,0.02
104,24225,24229.00,0.02
105,24433,24437.00,0.02
106,24641,24645.00,0.02
107,24849,24853.00,0.02
108,25057,25061.00,0.02
109,25265,25269.00,0.02
110,25823,25477.00,-1.34
111,26045,25685.00,-1.38
112,26253,25893.00,-1.37
113,26461,26101.00,-1.36
114,26669,26309.00,-1.35
115,26877,26517.00,-1.34
116,27085,26725.00,-1.33
117,27293,26933.00,-1.32
118,27501,27141.00,-1.31
119,27709,27349.00,-1.30
120,27917,27557.00,-1.29
121,28125,27765.00,-1.28
122,28333,28337.00,0.01
123,28541,28545.00,0.01
124,28749,28753.00,0.01
125,28957,28961.00,0.01
126,29165,29169.00,0.01
127,29723,29377.00,-1.16
128,29945,29585.00,-1.20
