data_type,thread,iteration,buffer_size,measured,predicted,error_percent
uint16_t,1,128,32,3.486667,3.486334,-0.01
uint16_t,1,256,16,3.565333,3.539582,-0.72
uint16_t,1,256,8,1.867333,1.863806,-0.19
uint16_t,1,128,16,1.811000,1.803756,-0.40
uint16_t,1,128,8,0.960333,0.965868,0.58
uint16_t,1,128,64,6.865000,6.844725,-0.30
uint16_t,1,256,32,6.906333,6.904739,-0.02
uint16_t,1,128,128,13.593000,13.563592,-0.22
uint16_t,1,512,8,3.669333,3.659683,-0.26
uint16_t,1,512,16,7.056000,7.011235,-0.63
uint16_t,1,256,64,13.631333,13.621521,-0.07
uint16_t,1,1024,8,7.280667,7.251436,-0.40
uint16_t,1,512,32,13.758000,13.741548,-0.12
uint16_t,1,256,128,27.101667,27.059253,-0.16
uint16_t,1,512,64,27.243333,27.175112,-0.25
uint16_t,1,512,128,54.168333,54.050577,-0.22
uint16_t,1,1024,16,14.069667,13.954540,-0.82
uint16_t,1,2048,8,14.472000,14.434942,-0.26
uint16_t,1,1024,32,27.468333,27.415166,-0.19
uint16_t,1,2048,16,28.062000,27.841150,-0.79
uint16_t,1,1024,64,54.396667,54.282293,-0.21
uint16_t,1,2048,32,54.852333,54.762403,-0.16
uint16_t,1,4096,8,28.887667,28.801955,-0.30
uint16_t,1,1024,128,108.270667,108.033224,-0.22
uint16_t,1,4096,16,56.073000,55.614371,-0.82
uint16_t,1,2048,64,108.740000,108.496657,-0.22
uint16_t,1,4096,32,109.676667,109.456876,-0.20
uint16_t,1,8192,8,57.700333,57.535980,-0.28
uint16_t,1,2048,128,216.369667,215.998517,-0.17
uint16_t,1,8192,16,112.108667,111.160812,-0.85
uint16_t,1,4096,64,217.348000,216.925384,-0.19
uint16_t,1,16384,8,115.357000,115.004030,-0.31
uint16_t,1,8192,32,219.185000,218.845822,-0.15
uint16_t,2,128,8,0.970000,0.967174,-0.29
uint16_t,2,128,16,1.812333,1.805062,-0.40
uint16_t,1,16384,16,223.892667,222.253694,-0.73
uint16_t,1,4096,128,432.701000,431.929105,-0.18
uint16_t,2,128,32,3.496000,3.487640,-0.24
uint16_t,2,128,64,6.859000,6.846031,-0.19
uint16_t,2,256,8,1.872333,1.865112,-0.39
uint16_t,2,128,128,13.576333,13.564894,-0.08
uint16_t,2,256,16,3.571667,3.540888,-0.86
uint16_t,1,8192,64,434.671000,433.782837,-0.20
uint16_t,2,256,32,6.911000,6.906045,-0.07
uint16_t,2,256,64,13.654667,13.622826,-0.23
uint16_t,2,512,8,3.666667,3.660989,-0.15
uint16_t,2,512,16,7.072333,7.012541,-0.85
uint16_t,2,256,128,27.110333,27.060556,-0.18
uint16_t,2,512,32,13.762000,13.742854,-0.14
uint16_t,1,16384,32,438.302667,437.623715,-0.15
uint16_t,2,512,64,27.231333,27.176417,-0.20
uint16_t,2,1024,8,7.283333,7.252742,-0.42
uint16_t,2,1024,16,14.066333,13.955846,-0.79
uint16_t,2,512,128,54.151000,54.051880,-0.18
uint16_t,2,1024,32,27.469000,27.416472,-0.19
uint16_t,2,1024,64,54.398000,54.283599,-0.21
uint16_t,2,2048,8,14.470333,14.436248,-0.24
uint16_t,2,2048,16,28.075333,27.842456,-0.83
uint16_t,2,1024,128,108.257000,108.034526,-0.21
uint16_t,2,2048,32,54.863333,54.763709,-0.18
uint16_t,2,4096,8,28.893000,28.803261,-0.31
uint16_t,2,2048,64,108.740333,108.497962,-0.22
uint16_t,2,4096,16,56.057000,55.615677,-0.79
uint16_t,1,8192,128,865.336333,863.790280,-0.18
uint16_t,2,4096,32,109.692000,109.458182,-0.21
uint16_t,2,2048,128,216.421667,215.999820,-0.19
uint16_t,2,8192,8,57.756000,57.537286,-0.38
uint16_t,1,16384,64,868.973333,867.497745,-0.17
uint16_t,2,4096,64,217.327333,216.926689,-0.18
uint16_t,2,8192,16,112.059333,111.162118,-0.80
uint16_t,2,8192,32,219.195667,218.847128,-0.16
uint16_t,2,16384,8,115.378000,115.005336,-0.32
uint16_t,2,4096,128,432.791333,431.930408,-0.20
uint16_t,2,16384,16,224.082667,222.255000,-0.82
uint16_t,4,128,8,0.970667,0.969780,-0.09
uint16_t,4,128,16,1.821667,1.807666,-0.77
uint16_t,4,128,32,3.491000,3.490246,-0.02
uint16_t,2,8192,64,434.629333,433.784143,-0.19
uint16_t,4,128,64,6.853000,6.848634,-0.06
uint16_t,4,256,8,1.863667,1.867718,0.22
uint16_t,4,128,128,13.593667,13.567500,-0.19
uint16_t,4,256,16,3.574333,3.543493,-0.86
uint16_t,4,256,32,6.912333,6.908650,-0.05
uint16_t,2,16384,32,438.382667,437.625021,-0.17
uint16_t,4,256,64,13.649667,13.625429,-0.18
uint16_t,4,256,128,27.119667,27.063162,-0.21
uint16_t,4,512,8,3.669333,3.663594,-0.16
uint16_t,4,512,16,7.075333,7.015145,-0.85
uint16_t,4,512,32,13.763333,13.745460,-0.13
uint16_t,4,1024,8,7.267000,7.255348,-0.16
uint16_t,4,512,64,27.246000,27.179020,-0.25
uint16_t,4,1024,16,14.082667,13.958450,-0.88
uint16_t,4,512,128,54.173333,54.054485,-0.22
uint16_t,4,1024,32,27.472000,27.419078,-0.19
uint16_t,4,2048,8,14.484000,14.438854,-0.31
uint16_t,4,1024,64,54.400000,54.286202,-0.21
uint16_t,4,2048,16,28.078333,27.845061,-0.83
uint16_t,4,1024,128,108.279000,108.037132,-0.22
uint16_t,4,2048,32,54.849333,54.766314,-0.15
uint16_t,2,8192,128,865.364000,863.791582,-0.18
uint16_t,1,16384,128,1730.369667,1727.512629,-0.17
uint16_t,4,4096,8,28.905333,28.805866,-0.34
uint16_t,4,2048,64,108.756000,108.500565,-0.23
uint16_t,4,4096,16,56.087667,55.618281,-0.84
uint16_t,4,4096,32,109.673667,109.460788,-0.19
uint16_t,4,8192,8,57.732667,57.539892,-0.33
uint16_t,2,16384,64,869.192667,867.499050,-0.19
uint16_t,4,2048,128,216.372000,216.002426,-0.17
uint16_t,4,8192,16,112.105333,111.164722,-0.84
uint16_t,4,4096,64,217.387333,216.929292,-0.21
uint16_t,4,16384,8,115.375000,115.007942,-0.32
uint16_t,4,8192,32,219.164667,218.849734,-0.14
uint16_t,4,4096,128,432.701333,431.933013,-0.18
uint16_t,4,16384,16,224.163000,222.257605,-0.85
uint16_t,8,128,8,0.977333,0.975241,-0.21
uint16_t,8,128,16,1.825667,1.813076,-0.69
uint16_t,8,128,32,3.495333,3.495475,0.00
uint16_t,8,128,64,6.858000,6.854199,-0.06
uint16_t,4,8192,64,434.649000,433.786746,-0.20
uint16_t,8,256,8,1.873667,1.873284,-0.02
uint16_t,8,256,16,3.575667,3.549031,-0.74
uint16_t,8,128,128,13.597667,13.573031,-0.18
uint16_t,8,256,32,6.924667,6.913889,-0.16
uint16_t,8,256,64,13.659000,13.631241,-0.20
uint16_t,4,16384,32,438.362000,437.627626,-0.17
uint16_t,8,256,128,27.132000,27.068928,-0.23
uint16_t,8,512,8,3.685333,3.669371,-0.43
uint16_t,8,512,16,7.072000,7.020941,-0.72
uint16_t,8,512,32,13.769333,13.750718,-0.14
uint16_t,8,512,64,27.252333,27.185326,-0.25
uint16_t,8,1024,8,7.281667,7.261545,-0.28
uint16_t,8,1024,16,14.089667,13.964760,-0.89
uint16_t,8,512,128,54.183667,54.060722,-0.23
uint16_t,8,1024,32,27.477000,27.424375,-0.19
uint16_t,8,2048,8,14.494333,14.445892,-0.33
uint16_t,8,1024,64,54.400667,54.293495,-0.20
uint16_t,2,16384,128,1730.846000,1727.513932,-0.19
uint16_t,8,2048,16,28.096000,27.852399,-0.87
uint16_t,8,1024,128,108.306333,108.044312,-0.24
uint16_t,8,2048,32,54.867000,54.771688,-0.17
uint16_t,8,4096,8,28.904000,28.814587,-0.31
uint16_t,4,8192,128,865.268667,863.794188,-0.17
uint16_t,8,2048,64,108.789000,108.509835,-0.26
uint16_t,8,4096,16,56.124333,55.627677,-0.88
uint16_t,8,4096,32,109.667000,109.466315,-0.18
uint16_t,8,8192,8,57.724000,57.551977,-0.30
uint16_t,4,16384,64,869.238000,867.501653,-0.20
uint16_t,8,2048,128,216.436000,216.011490,-0.20
uint16_t,8,8192,16,112.119333,111.178232,-0.84
uint16_t,8,4096,64,217.388333,216.942513,-0.21
uint16_t,8,16384,8,115.368000,115.026756,-0.30
uint16_t,8,8192,32,219.275000,218.855568,-0.19
uint16_t,8,4096,128,432.686000,431.945846,-0.17
uint16_t,8,16384,16,224.135667,222.279343,-0.83
uint16_t,16,128,8,1.383667,1.356381,-1.97
uint16_t,16,128,16,2.590667,2.575340,-0.59
uint16_t,16,128,32,5.035667,4.973034,-1.24
uint16_t,16,128,64,9.922333,9.827248,-0.96
uint16_t,8,8192,64,434.658333,433.807870,-0.20
uint16_t,16,128,128,19.687333,19.556540,-0.66
uint16_t,16,256,8,2.668333,2.616148,-1.96
uint16_t,16,256,16,5.105333,5.051913,-1.05
uint16_t,16,256,32,9.980667,9.835979,-1.45
uint16_t,16,256,64,19.730667,19.553951,-0.90
uint16_t,8,16384,32,438.469667,437.634075,-0.19
uint16_t,16,512,8,5.243333,5.135681,-2.05
uint16_t,16,256,128,39.265000,39.011146,-0.65
uint16_t,16,512,16,10.116000,10.005060,-1.10
uint16_t,16,512,32,19.875333,19.561869,-1.58
uint16_t,16,512,64,39.393000,39.007358,-0.98
uint16_t,16,1024,8,10.381333,10.174749,-1.99
uint16_t,16,1024,16,20.140000,19.911354,-1.14
uint16_t,16,512,128,78.416333,77.920357,-0.63
uint16_t,16,1024,32,39.651667,39.013650,-1.61
uint16_t,16,2048,8,20.664333,20.252884,-1.99
uint16_t,16,1024,64,78.693667,77.914172,-0.99
uint16_t,4,16384,128,1730.723333,1727.516538,-0.19
uint16_t,16,2048,16,40.179333,39.723941,-1.13
