data_type,thread,iteration,buffer_size,measured,predicted,error_percent
uint16_t,1,128,32,3.486667,3.466094,-0.59
uint16_t,1,256,16,3.565333,3.499228,-1.85
uint16_t,1,256,8,1.867333,1.823452,-2.35
uint16_t,1,128,16,1.811000,1.783516,-1.52
uint16_t,1,128,8,0.960333,0.945628,-1.53
uint16_t,1,128,64,6.865000,6.824485,-0.59
uint16_t,1,256,32,6.906333,6.864385,-0.61
uint16_t,1,128,128,13.593000,13.543352,-0.37
uint16_t,1,512,8,3.669333,3.579100,-2.46
uint16_t,1,512,16,7.056000,6.930652,-1.78
uint16_t,1,256,64,13.631333,13.581166,-0.37
uint16_t,1,1024,8,7.280667,7.090396,-2.61
uint16_t,1,512,32,13.758000,13.660965,-0.71
uint16_t,1,256,128,27.101667,27.018899,-0.31
uint16_t,1,512,64,27.243333,27.094529,-0.55
uint16_t,1,512,128,54.168333,53.969994,-0.37
uint16_t,1,1024,16,14.069667,13.793500,-1.96
uint16_t,1,2048,8,14.472000,14.112988,-2.48
uint16_t,1,1024,32,27.468333,27.254126,-0.78
uint16_t,1,2048,16,28.062000,27.519196,-1.93
uint16_t,1,1024,64,54.396667,54.121253,-0.51
uint16_t,1,2048,32,54.852333,54.440449,-0.75
uint16_t,1,4096,8,28.887667,28.158172,-2.53
uint16_t,1,1024,128,108.270667,107.872184,-0.37
uint16_t,1,4096,16,56.073000,54.970588,-1.97
uint16_t,1,2048,64,108.740000,108.174702,-0.52
uint16_t,1,4096,32,109.676667,108.813093,-0.79
uint16_t,1,8192,8,57.700333,56.248540,-2.52
uint16_t,1,2048,128,216.369667,215.676563,-0.32
uint16_t,1,8192,16,112.108667,109.873372,-1.99
uint16_t,1,4096,64,217.348000,216.281601,-0.49
uint16_t,1,16384,8,115.357000,112.429276,-2.54
uint16_t,1,8192,32,219.185000,217.558382,-0.74
uint16_t,2,128,8,0.970000,0.946934,-2.38
uint16_t,2,128,16,1.812333,1.784822,-1.52
uint16_t,1,16384,16,223.892667,219.678940,-1.88
uint16_t,1,4096,128,432.701000,431.285322,-0.33
uint16_t,2,128,32,3.496000,3.467400,-0.82
uint16_t,2,128,64,6.859000,6.825791,-0.48
uint16_t,2,256,8,1.872333,1.824758,-2.54
uint16_t,2,128,128,13.576333,13.544654,-0.23
uint16_t,2,256,16,3.571667,3.500534,-1.99
uint16_t,1,8192,64,434.671000,432.495397,-0.50
uint16_t,2,256,32,6.911000,6.865690,-0.66
uint16_t,2,256,64,13.654667,13.582472,-0.53
uint16_t,2,512,8,3.666667,3.580406,-2.35
uint16_t,2,512,16,7.072333,6.931958,-1.98
uint16_t,2,256,128,27.110333,27.020202,-0.33
uint16_t,2,512,32,13.762000,13.662271,-0.72
uint16_t,1,16384,32,438.302667,435.048961,-0.74
