operation,data_type,thread,iteration,buffer_size,measured,predicted,error_percent
ADD,uint16_t,1,256,8,0.706333,0.704990,-0.19
ADD,uint16_t,1,512,8,1.354333,1.343966,-0.77
ADD,uint16_t,1,512,16,2.278333,2.254156,-1.06
ADD,uint16_t,1,256,16,1.161000,1.160085,-0.08
ADD,uint16_t,1,256,64,3.944000,3.945218,0.03
ADD,uint16_t,1,256,32,2.095000,2.097484,0.12
ADD,uint16_t,1,256,128,7.658000,7.649026,-0.12
ADD,uint16_t,1,256,256,15.073333,15.056204,-0.11
ADD,uint16_t,1,512,32,4.119667,4.128953,0.23
ADD,uint16_t,1,1024,16,4.499667,4.442297,-1.27
ADD,uint16_t,1,1024,8,2.669667,2.621918,-1.79
ADD,uint16_t,1,512,64,7.849333,7.824423,-0.32
ADD,uint16_t,1,1024,32,8.189000,8.191893,0.04
ADD,uint16_t,1,512,128,15.255333,15.232039,-0.15
ADD,uint16_t,1,512,256,30.094667,30.046393,-0.16
ADD,uint16_t,1,1024,64,15.652667,15.582832,-0.45
ADD,uint16_t,1,2048,8,5.287000,5.177822,-2.07
ADD,uint16_t,1,2048,16,8.943000,8.818581,-1.39
ADD,uint16_t,1,2048,32,16.324000,16.317772,-0.04
ADD,uint16_t,1,1024,128,30.467000,30.398064,-0.23
ADD,uint16_t,1,2048,64,31.238667,31.099650,-0.45
ADD,uint16_t,1,4096,8,10.531333,10.289630,-2.30
ADD,uint16_t,1,1024,256,60.128667,60.026773,-0.17
ADD,uint16_t,1,4096,16,17.836667,17.571148,-1.49
ADD,uint16_t,1,2048,128,60.878333,60.730114,-0.24
ADD,uint16_t,1,4096,32,32.608000,32.569529,-0.12
ADD,uint16_t,1,8192,8,21.044000,20.513246,-2.52
ADD,uint16_t,1,4096,64,62.427667,62.133287,-0.47
ADD,uint16_t,1,2048,256,120.187000,119.987532,-0.17
ADD,uint16_t,1,8192,16,35.608000,35.076281,-1.49
ADD,uint16_t,1,8192,32,65.113333,65.073045,-0.06
ADD,uint16_t,1,4096,128,121.660667,121.394215,-0.22
ADD,uint16_t,1,16384,8,42.019333,40.960478,-2.52
ADD,uint16_t,1,16384,16,71.134000,70.086549,-1.47
ADD,uint16_t,1,8192,64,124.758000,124.200560,-0.45
ADD,uint16_t,1,4096,256,240.280000,239.909049,-0.15
ADD,uint16_t,1,16384,32,130.230667,130.080076,-0.12
ADD,uint16_t,1,32768,8,83.985000,81.854942,-2.54
ADD,uint16_t,1,8192,128,243.255667,242.722416,-0.22
ADD,uint16_t,1,16384,64,249.506667,248.335106,-0.47
ADD,uint16_t,1,32768,16,142.224000,140.107084,-1.49
ADD,uint16_t,2,256,8,0.709333,0.709749,0.06
ADD,uint16_t,2,256,16,1.154667,1.184826,2.61
ADD,uint16_t,2,256,32,2.079000,2.119373,1.94
ADD,uint16_t,1,8192,256,480.430667,479.752085,-0.14
ADD,uint16_t,1,32768,32,260.381667,260.094137,-0.11
ADD,uint16_t,2,256,64,4.036667,4.018299,-0.46
ADD,uint16_t,2,256,128,7.653333,7.758920,1.38
ADD,uint16_t,2,512,8,1.527667,1.353363,-11.41
ADD,uint16_t,2,256,256,15.081000,15.269074,1.25
ADD,uint16_t,2,512,16,2.269000,2.303473,1.52
ADD,uint16_t,1,16384,128,486.497667,485.378818,-0.23
ADD,uint16_t,2,512,32,4.128667,4.172537,1.06
ADD,uint16_t,2,512,64,7.960000,7.970244,0.13
ADD,uint16_t,2,512,128,15.252667,15.451317,1.30
ADD,uint16_t,2,1024,8,2.674667,2.640589,-1.27
ADD,uint16_t,2,1024,16,4.496667,4.540767,0.98
ADD,uint16_t,2,512,256,30.099333,30.471231,1.24
ADD,uint16_t,2,1024,32,8.227667,8.278865,0.62
ADD,uint16_t,2,1024,64,15.834000,15.874134,0.25
ADD,uint16_t,2,2048,8,5.330333,5.215042,-2.16
ADD,uint16_t,2,1024,128,30.475000,30.836113,1.18
ADD,uint16_t,1,32768,64,498.898333,496.604199,-0.46
ADD,uint16_t,2,2048,16,8.938333,9.015354,0.86
ADD,uint16_t,2,1024,256,60.139333,60.875547,1.22
ADD,uint16_t,2,2048,32,16.337000,16.491520,0.95
ADD,uint16_t,2,2048,64,31.287333,31.681915,1.26
ADD,uint16_t,2,4096,8,10.714667,10.363948,-3.27
ADD,uint16_t,2,4096,16,17.828333,17.964529,0.76
ADD,uint16_t,2,2048,128,60.850667,61.605704,1.24
ADD,uint16_t,2,4096,32,32.617333,32.916832,0.92
ADD,uint16_t,2,2048,256,120.175333,121.684178,1.26
ADD,uint16_t,2,4096,64,62.551667,63.297476,1.19
ADD,uint16_t,2,8192,8,21.377667,20.661760,-3.35
ADD,uint16_t,2,8192,16,35.612333,35.862879,0.70
ADD,uint16_t,2,4096,128,121.664667,123.144885,1.22
ADD,uint16_t,2,8192,32,65.159000,65.767454,0.93
ADD,uint16_t,1,16384,256,960.822000,959.438156,-0.14
ADD,uint16_t,2,16384,8,42.733000,41.257385,-3.45
ADD,uint16_t,2,8192,64,125.080333,126.528598,1.16
ADD,uint16_t,2,4096,256,240.265000,243.301439,1.26
ADD,uint16_t,2,16384,16,71.180667,71.659578,0.67
ADD,uint16_t,1,32768,128,972.975333,970.691623,-0.23
ADD,uint16_t,2,16384,32,130.265667,131.468698,0.92
ADD,uint16_t,2,8192,128,243.293333,246.223249,1.20
