operation,data_type,thread,iteration,buffer_size,measured,predicted,error_percent
ADD,uint16_t,1,256,8,0.706333,0.648670,-8.16
ADD,uint16_t,1,512,8,1.354333,1.231326,-9.08
ADD,uint16_t,1,512,16,2.278333,2.141516,-6.01
ADD,uint16_t,1,256,16,1.161000,1.103765,-4.93
ADD,uint16_t,1,256,64,3.944000,3.888898,-1.40
ADD,uint16_t,1,256,32,2.095000,2.041164,-2.57
ADD,uint16_t,1,256,128,7.658000,7.592706,-0.85
ADD,uint16_t,1,256,256,15.073333,14.999884,-0.49
ADD,uint16_t,1,512,32,4.119667,4.016313,-2.51
ADD,uint16_t,1,1024,16,4.499667,4.217017,-6.28
ADD,uint16_t,1,1024,8,2.669667,2.396638,-10.23
ADD,uint16_t,1,512,64,7.849333,7.711783,-1.75
ADD,uint16_t,1,1024,32,8.189000,7.966613,-2.72
ADD,uint16_t,1,512,128,15.255333,15.119399,-0.89
ADD,uint16_t,1,512,256,30.094667,29.933753,-0.53
ADD,uint16_t,1,1024,64,15.652667,15.357552,-1.89
ADD,uint16_t,1,2048,8,5.287000,4.727262,-10.59
ADD,uint16_t,1,2048,16,8.943000,8.368021,-6.43
ADD,uint16_t,1,2048,32,16.324000,15.867212,-2.80
ADD,uint16_t,1,1024,128,30.467000,30.172784,-0.97
ADD,uint16_t,1,2048,64,31.238667,30.649090,-1.89
ADD,uint16_t,1,4096,8,10.531333,9.388510,-10.85
ADD,uint16_t,1,1024,256,60.128667,59.801493,-0.54
ADD,uint16_t,1,4096,16,17.836667,16.670028,-6.54
ADD,uint16_t,1,2048,128,60.878333,60.279554,-0.98
ADD,uint16_t,1,4096,32,32.608000,31.668409,-2.88
ADD,uint16_t,1,8192,8,21.044000,18.711006,-11.09
ADD,uint16_t,1,4096,64,62.427667,61.232167,-1.92
ADD,uint16_t,1,2048,256,120.187000,119.536972,-0.54
ADD,uint16_t,1,8192,16,35.608000,33.274041,-6.55
ADD,uint16_t,1,8192,32,65.113333,63.270805,-2.83
ADD,uint16_t,1,4096,128,121.660667,120.493095,-0.96
ADD,uint16_t,1,16384,8,42.019333,37.355998,-11.10
ADD,uint16_t,1,16384,16,71.134000,66.482069,-6.54
ADD,uint16_t,1,8192,64,124.758000,122.398320,-1.89
ADD,uint16_t,1,4096,256,240.280000,239.007929,-0.53
ADD,uint16_t,1,16384,32,130.230667,126.475596,-2.88
ADD,uint16_t,1,32768,8,83.985000,74.645982,-11.12
ADD,uint16_t,1,8192,128,243.255667,240.920176,-0.96
ADD,uint16_t,1,16384,64,249.506667,244.730626,-1.91
ADD,uint16_t,1,32768,16,142.224000,132.898124,-6.56
ADD,uint16_t,2,256,8,0.709333,0.661475,-6.75
ADD,uint16_t,2,256,16,1.154667,1.136552,-1.57
ADD,uint16_t,2,256,32,2.079000,2.071099,-0.38
ADD,uint16_t,1,8192,256,480.430667,477.949845,-0.52
ADD,uint16_t,1,32768,32,260.381667,252.885177,-2.88
ADD,uint16_t,2,256,64,4.036667,3.970024,-1.65
ADD,uint16_t,2,256,128,7.653333,7.710645,0.75
ADD,uint16_t,2,512,8,1.527667,1.256814,-17.73
ADD,uint16_t,2,256,256,15.081000,15.220799,0.93
ADD,uint16_t,2,512,16,2.269000,2.206925,-2.74
ADD,uint16_t,1,16384,128,486.497667,481.774338,-0.97
ADD,uint16_t,2,512,32,4.128667,4.075989,-1.28
ADD,uint16_t,2,512,64,7.960000,7.873695,-1.08
ADD,uint16_t,2,512,128,15.252667,15.354769,0.67
ADD,uint16_t,2,1024,8,2.674667,2.447492,-8.49
ADD,uint16_t,2,1024,16,4.496667,4.347670,-3.31
ADD,uint16_t,2,512,256,30.099333,30.374683,0.91
ADD,uint16_t,2,1024,32,8.227667,8.085768,-1.72
ADD,uint16_t,2,1024,64,15.834000,15.681037,-0.97
ADD,uint16_t,2,2048,8,5.330333,4.828848,-9.41
ADD,uint16_t,2,1024,128,30.475000,30.643016,0.55
ADD,uint16_t,1,32768,64,498.898333,489.395239,-1.90
ADD,uint16_t,2,2048,16,8.938333,8.629160,-3.46
ADD,uint16_t,2,1024,256,60.139333,60.682450,0.90
ADD,uint16_t,2,2048,32,16.337000,16.105326,-1.42
ADD,uint16_t,2,2048,64,31.287333,31.295720,0.03
ADD,uint16_t,2,4096,8,10.714667,9.591560,-10.48
ADD,uint16_t,2,4096,16,17.828333,17.192141,-3.57
ADD,uint16_t,2,2048,128,60.850667,61.219509,0.61
ADD,uint16_t,2,4096,32,32.617333,32.144443,-1.45
ADD,uint16_t,2,2048,256,120.175333,121.297983,0.93
ADD,uint16_t,2,4096,64,62.551667,62.525087,-0.04
ADD,uint16_t,2,8192,8,21.377667,19.116983,-10.57
ADD,uint16_t,2,8192,16,35.612333,34.318102,-3.63
ADD,uint16_t,2,4096,128,121.664667,122.372497,0.58
ADD,uint16_t,2,8192,32,65.159000,64.222677,-1.44
ADD,uint16_t,1,16384,256,960.822000,955.833676,-0.52
ADD,uint16_t,2,16384,8,42.733000,38.167830,-10.68
ADD,uint16_t,2,8192,64,125.080333,124.983821,-0.08
ADD,uint16_t,2,4096,256,240.265000,242.529051,0.94
ADD,uint16_t,2,16384,16,71.180667,68.570024,-3.67
ADD,uint16_t,1,32768,128,972.975333,963.482663,-0.98
ADD,uint16_t,2,16384,32,130.265667,128.379144,-1.45
ADD,uint16_t,2,8192,128,243.293333,244.678472,0.57
ADD,uint16_t,2,32768,8,85.434667,76.269525,-10.73
ADD,uint16_t,2,16384,64,249.578000,249.901288,0.13
ADD,uint16_t,2,32768,16,142.296667,137.073869,-3.67
ADD,uint16_t,2,8192,256,480.475333,484.991186,0.94
ADD,uint16_t,4,256,8,0.728333,0.663818,-8.86
ADD,uint16_t,2,32768,32,260.498333,256.692078,-1.46
ADD,uint16_t,4,256,16,1.166333,1.137786,-2.45
ADD,uint16_t,4,256,32,2.101000,2.072951,-1.34
ADD,uint16_t,4,256,64,4.057333,3.972108,-2.10
ADD,uint16_t,4,256,128,7.666333,7.714122,0.62
ADD,uint16_t,2,16384,128,486.521333,489.290421,0.57
ADD,uint16_t,4,512,8,1.394333,1.260555,-9.59
ADD,uint16_t,4,256,256,15.087333,15.226751,0.92
ADD,uint16_t,4,512,16,2.287333,2.208561,-3.44
ADD,uint16_t,4,512,32,4.134667,4.078490,-1.36
ADD,uint16_t,4,512,64,8.005000,7.875781,-1.61
ADD,uint16_t,4,512,128,15.267667,15.358644,0.60
ADD,uint16_t,4,1024,8,2.721000,2.454025,-9.81
ADD,uint16_t,4,512,256,30.113000,30.381112,0.89
ADD,uint16_t,4,1024,16,4.503667,4.350129,-3.41
ADD,uint16_t,4,1024,32,8.359000,8.089564,-3.22
ADD,uint16_t,2,32768,64,499.276667,499.736223,0.09
ADD,uint16_t,4,1024,64,16.033333,15.683123,-2.18
ADD,uint16_t,4,2048,8,5.396667,4.840965,-10.30
ADD,uint16_t,4,1024,128,30.481667,30.647683,0.54
ADD,uint16_t,4,2048,16,8.958667,8.633265,-3.63
ADD,uint16_t,4,2048,32,16.351000,16.111710,-1.46
ADD,uint16_t,4,1024,256,60.130667,60.689829,0.93
ADD,uint16_t,4,2048,64,31.389333,31.297806,-0.29
ADD,uint16_t,4,4096,8,10.715000,9.614845,-10.27
ADD,uint16_t,4,4096,16,17.853333,17.199537,-3.66
ADD,uint16_t,4,2048,128,60.880000,61.225761,0.57
ADD,uint16_t,4,4096,32,32.658000,32.156004,-1.54
ADD,uint16_t,4,4096,64,63.084667,62.527173,-0.88
ADD,uint16_t,4,2048,256,120.170667,121.307263,0.95
ADD,uint16_t,4,8192,8,21.391667,19.162605,-10.42
ADD,uint16_t,1,32768,256,1921.594000,1911.601337,-0.52
ADD,uint16_t,4,8192,16,35.641333,34.332081,-3.67
ADD,uint16_t,2,16384,256,960.834333,969.915455,0.95
ADD,uint16_t,4,4096,128,121.679333,122.381916,0.58
ADD,uint16_t,4,8192,32,65.233000,64.244591,-1.52
ADD,uint16_t,4,16384,8,42.751333,38.258125,-10.51
ADD,uint16_t,4,8192,64,125.080000,124.985907,-0.08
ADD,uint16_t,4,16384,16,71.228000,68.597169,-3.69
ADD,uint16_t,4,4096,256,240.291333,242.542130,0.94
ADD,uint16_t,4,16384,32,130.411000,128.421764,-1.53
ADD,uint16_t,2,32768,128,972.869667,978.514321,0.58
ADD,uint16_t,4,8192,128,243.307667,244.694226,0.57
ADD,uint16_t,4,32768,8,85.466667,76.449164,-10.55
ADD,uint16_t,4,16384,64,252.398667,249.903374,-0.99
ADD,uint16_t,4,32768,16,142.393333,137.127345,-3.70
ADD,uint16_t,8,256,8,0.743333,0.665619,-10.45
