operation,data_type,thread,iteration,buffer_size,measured,predicted,error_percent
ADD,uint16_t,1,256,8,0.997333,1.004234,0.69
ADD,uint16_t,1,512,16,3.317000,3.249720,-2.03
ADD,uint16_t,1,256,16,1.687667,1.658058,-1.75
ADD,uint16_t,1,256,32,2.990333,2.997670,0.25
ADD,uint16_t,1,512,8,1.953667,1.942072,-0.59
ADD,uint16_t,1,256,64,5.633333,5.642003,0.15
ADD,uint16_t,1,256,128,10.939333,10.940326,0.01
ADD,uint16_t,1,256,256,21.548667,21.538140,-0.05
ADD,uint16_t,1,512,32,5.920000,5.928943,0.15
ADD,uint16_t,1,1024,8,3.836667,3.817747,-0.49
ADD,uint16_t,1,1024,16,6.606667,6.433043,-2.63
ADD,uint16_t,1,512,64,11.228000,11.217610,-0.09
ADD,uint16_t,1,1024,32,11.783000,11.791489,0.07
ADD,uint16_t,1,512,128,21.839000,21.814255,-0.11
ADD,uint16_t,1,512,256,43.039667,43.009884,-0.07
ADD,uint16_t,1,1024,64,22.392333,22.368824,-0.10
ADD,uint16_t,1,2048,8,7.621333,7.569098,-0.69
ADD,uint16_t,1,2048,16,13.158000,12.799690,-2.72
ADD,uint16_t,1,2048,32,23.524000,23.516582,-0.03
ADD,uint16_t,1,1024,128,43.626000,43.562113,-0.15
ADD,uint16_t,1,4096,8,15.194333,15.071800,-0.81
ADD,uint16_t,1,2048,64,44.714000,44.671251,-0.10
ADD,uint16_t,1,1024,256,86.056000,85.953372,-0.12
ADD,uint16_t,1,4096,16,26.257333,25.532984,-2.76
ADD,uint16_t,1,2048,128,87.190333,87.057830,-0.15
ADD,uint16_t,1,4096,32,47.001667,46.966767,-0.07
ADD,uint16_t,1,8192,8,30.343667,30.077203,-0.88
ADD,uint16_t,1,4096,64,89.380667,89.276106,-0.12
ADD,uint16_t,1,8192,16,52.474333,50.999571,-2.81
ADD,uint16_t,1,2048,256,171.945333,171.840348,-0.06
ADD,uint16_t,1,8192,32,93.950667,93.867137,-0.09
ADD,uint16_t,1,4096,128,174.248333,174.049263,-0.11
ADD,uint16_t,1,16384,8,60.605333,60.088010,-0.85
ADD,uint16_t,1,8192,64,178.695000,178.485816,-0.12
