operation,data_type,thread,iteration,buffer_size,measured,predicted,error_percent
ADD,uint16_t,1,256,8,0.997333,0.915731,-8.18
ADD,uint16_t,1,512,16,3.317000,3.072714,-7.36
ADD,uint16_t,1,256,16,1.687667,1.569555,-7.00
ADD,uint16_t,1,256,32,2.990333,2.909167,-2.71
ADD,uint16_t,1,512,8,1.953667,1.765066,-9.65
ADD,uint16_t,1,256,64,5.633333,5.553500,-1.42
ADD,uint16_t,1,256,128,10.939333,10.851823,-0.80
ADD,uint16_t,1,256,256,21.548667,21.449638,-0.46
ADD,uint16_t,1,512,32,5.920000,5.751937,-2.84
ADD,uint16_t,1,1024,8,3.836667,3.463736,-9.72
ADD,uint16_t,1,1024,16,6.606667,6.079032,-7.99
ADD,uint16_t,1,512,64,11.228000,11.040604,-1.67
ADD,uint16_t,1,1024,32,11.783000,11.437478,-2.93
ADD,uint16_t,1,512,128,21.839000,21.637249,-0.92
ADD,uint16_t,1,512,256,43.039667,42.832879,-0.48
ADD,uint16_t,1,1024,64,22.392333,22.014812,-1.69
ADD,uint16_t,1,2048,8,7.621333,6.861075,-9.98
ADD,uint16_t,1,2048,16,13.158000,12.091667,-8.10
ADD,uint16_t,1,2048,32,23.524000,22.808559,-3.04
ADD,uint16_t,1,1024,128,43.626000,43.208102,-0.96
ADD,uint16_t,1,4096,8,15.194333,13.655754,-10.13
ADD,uint16_t,1,2048,64,44.714000,43.963228,-1.68
ADD,uint16_t,1,1024,256,86.056000,85.599361,-0.53
ADD,uint16_t,1,4096,16,26.257333,24.116938,-8.15
ADD,uint16_t,1,2048,128,87.190333,86.349807,-0.96
ADD,uint16_t,1,4096,32,47.001667,45.550721,-3.09
ADD,uint16_t,1,8192,8,30.343667,27.245112,-10.21
ADD,uint16_t,1,4096,64,89.380667,87.860060,-1.70
ADD,uint16_t,1,8192,16,52.474333,48.167480,-8.21
ADD,uint16_t,1,2048,256,171.945333,171.132326,-0.47
ADD,uint16_t,1,8192,32,93.950667,91.035046,-3.10
ADD,uint16_t,1,4096,128,174.248333,172.633217,-0.93
ADD,uint16_t,1,16384,8,60.605333,54.423827,-10.20
ADD,uint16_t,1,8192,64,178.695000,175.653724,-1.70
ADD,uint16_t,1,16384,16,104.901667,96.268563,-8.23
ADD,uint16_t,1,4096,256,343.849667,342.198255,-0.48
ADD,uint16_t,1,16384,32,187.876333,182.003695,-3.13
ADD,uint16_t,1,32768,8,121.174667,108.781258,-10.23
