data_type,thread,iteration,buffer_size,measured,predicted,error_percent
uint16_t,1,256,16,1.164000,1.164108,0.01
uint16_t,1,256,64,3.749667,3.755486,0.16
uint16_t,1,512,16,2.372000,2.262201,-4.63
uint16_t,1,256,8,0.724667,0.737831,1.82
uint16_t,1,256,32,2.054667,2.035020,-0.96
uint16_t,1,512,8,1.406000,1.409648,0.26
uint16_t,1,256,128,7.215000,7.201904,-0.18
uint16_t,1,256,256,14.101000,14.096130,-0.03
uint16_t,1,512,32,4.051333,4.004025,-1.17
uint16_t,1,1024,8,2.760000,2.753282,-0.24
uint16_t,1,1024,16,4.519333,4.458389,-1.35
uint16_t,1,512,64,7.449000,7.444958,-0.05
uint16_t,1,1024,32,8.060000,7.942037,-1.46
uint16_t,1,512,128,14.356333,14.337794,-0.13
uint16_t,1,512,256,28.137000,28.126247,-0.04
uint16_t,1,1024,64,14.870000,14.823902,-0.31
uint16_t,1,2048,8,5.490000,5.440551,-0.90
uint16_t,1,2048,16,8.944667,8.850764,-1.05
uint16_t,1,2048,32,16.073333,15.818060,-1.59
uint16_t,1,1024,128,28.672000,28.609575,-0.22
uint16_t,1,2048,64,29.685333,29.581790,-0.35
uint16_t,1,1024,256,56.228000,56.186480,-0.07
uint16_t,1,4096,8,10.931333,10.815088,-1.06
uint16_t,1,4096,16,17.857333,17.635513,-1.24
uint16_t,1,2048,128,57.268333,57.153136,-0.20
uint16_t,1,4096,32,32.089667,31.570105,-1.62
uint16_t,1,8192,8,21.809667,21.564162,-1.13
uint16_t,1,4096,64,59.297000,59.097566,-0.34
uint16_t,1,2048,256,112.406000,112.306946,-0.09
uint16_t,1,8192,16,35.651000,35.205013,-1.25
uint16_t,1,8192,32,64.119000,63.074197,-1.63
uint16_t,1,4096,128,114.478333,114.240258,-0.21
uint16_t,1,16384,8,43.555000,43.062311,-1.13
uint16_t,1,8192,64,118.564000,118.129118,-0.37
uint16_t,1,16384,16,71.233667,70.344012,-1.25
uint16_t,1,4096,256,224.661333,224.547879,-0.05
uint16_t,2,256,8,0.737667,0.738224,0.08
uint16_t,1,16384,32,128.182667,126.082380,-1.64
uint16_t,2,256,16,1.163667,1.168306,0.40
uint16_t,2,256,32,2.043667,2.072203,1.40
uint16_t,1,8192,128,228.904333,228.414503,-0.21
uint16_t,2,256,64,3.797333,3.832189,0.92
uint16_t,2,256,128,7.203333,7.318561,1.60
uint16_t,2,512,8,1.424333,1.410041,-1.00
uint16_t,2,256,256,14.110000,14.312756,1.44
uint16_t,2,512,16,2.462000,2.270305,-7.79
uint16_t,2,512,32,4.066333,4.078263,0.29
