data_type,thread,iteration,buffer_size,measured,predicted,error_percent
uint16_t,1,256,16,1.164000,1.107788,-4.83
uint16_t,1,256,64,3.749667,3.699166,-1.35
uint16_t,1,512,16,2.372000,2.149561,-9.38
uint16_t,1,256,8,0.724667,0.681511,-5.96
uint16_t,1,256,32,2.054667,1.978700,-3.70
uint16_t,1,512,8,1.406000,1.297008,-7.75
uint16_t,1,256,128,7.215000,7.145584,-0.96
uint16_t,1,256,256,14.101000,14.039810,-0.43
uint16_t,1,512,32,4.051333,3.891385,-3.95
uint16_t,1,1024,8,2.760000,2.528002,-8.41
uint16_t,1,1024,16,4.519333,4.233109,-6.33
uint16_t,1,512,64,7.449000,7.332318,-1.57
uint16_t,1,1024,32,8.060000,7.716757,-4.26
uint16_t,1,512,128,14.356333,14.225154,-0.91
uint16_t,1,512,256,28.137000,28.013607,-0.44
uint16_t,1,1024,64,14.870000,14.598622,-1.83
uint16_t,1,2048,8,5.490000,4.989991,-9.11
uint16_t,1,2048,16,8.944667,8.400204,-6.09
uint16_t,1,2048,32,16.073333,15.367500,-4.39
uint16_t,1,1024,128,28.672000,28.384295,-1.00
uint16_t,1,2048,64,29.685333,29.131230,-1.87
uint16_t,1,1024,256,56.228000,55.961200,-0.47
uint16_t,1,4096,8,10.931333,9.913968,-9.31
uint16_t,1,4096,16,17.857333,16.734393,-6.29
uint16_t,1,2048,128,57.268333,56.702576,-0.99
uint16_t,1,4096,32,32.089667,30.668985,-4.43
uint16_t,1,8192,8,21.809667,19.761922,-9.39
uint16_t,1,4096,64,59.297000,58.196446,-1.86
uint16_t,1,2048,256,112.406000,111.856386,-0.49
uint16_t,1,8192,16,35.651000,33.402773,-6.31
uint16_t,1,8192,32,64.119000,61.271957,-4.44
uint16_t,1,4096,128,114.478333,113.339138,-1.00
uint16_t,1,16384,8,43.555000,39.457831,-9.41
uint16_t,1,8192,64,118.564000,116.326878,-1.89
uint16_t,1,16384,16,71.233667,66.739532,-6.31
uint16_t,1,4096,256,224.661333,223.646759,-0.45
uint16_t,2,256,8,0.737667,0.686863,-6.89
uint16_t,1,16384,32,128.182667,122.477900,-4.45
uint16_t,2,256,16,1.163667,1.129670,-2.92
uint16_t,2,256,32,2.043667,1.999792,-2.15
uint16_t,1,8192,128,228.904333,226.612263,-1.00
uint16_t,2,256,64,3.797333,3.759777,-0.99
uint16_t,2,256,128,7.203333,7.246150,0.59
uint16_t,2,512,8,1.424333,1.307510,-8.20
uint16_t,2,256,256,14.110000,14.240344,0.92
uint16_t,2,512,16,2.462000,2.193168,-10.92
uint16_t,2,512,32,4.066333,3.933440,-3.27
uint16_t,1,16384,64,237.048333,232.587742,-1.88
uint16_t,2,512,64,7.479000,7.453418,-0.34
uint16_t,2,512,128,14.362333,14.426164,0.44
uint16_t,2,1024,8,2.777000,2.548802,-8.22
uint16_t,2,1024,16,4.513000,4.320162,-4.27
uint16_t,2,1024,32,8.071667,7.800737,-3.36
uint16_t,2,512,256,28.145667,28.414552,0.96
uint16_t,2,1024,64,14.905000,14.840701,-0.43
uint16_t,2,2048,8,5.514333,5.031388,-8.76
uint16_t,2,1024,128,28.671667,28.786191,0.40
uint16_t,2,2048,16,8.962667,8.574150,-4.33
uint16_t,1,8192,256,449.403333,447.227504,-0.48
uint16_t,2,2048,32,16.068333,15.535331,-3.32
uint16_t,2,1024,256,56.250667,56.762968,0.91
uint16_t,2,4096,8,10.980000,9.996559,-8.96
