operation,data_type,thread,iteration,buffer_size,measured,predicted,error_percent
ADD,uint16_t,1,256,8,0.875000,0.955577,9.21
ADD,uint16_t,1,512,8,1.720000,1.845141,7.28
ADD,uint16_t,1,512,16,2.921667,3.152789,7.91
ADD,uint16_t,1,256,16,1.482333,1.609401,8.57
ADD,uint16_t,1,256,32,2.671333,2.949013,10.39
ADD,uint16_t,1,256,64,5.051667,5.593346,10.72
ADD,uint16_t,1,256,128,9.857333,10.891669,10.49
ADD,uint16_t,1,256,256,19.448333,21.489484,10.50
ADD,uint16_t,1,512,32,5.302333,5.832012,9.99
ADD,uint16_t,1,1024,8,3.383667,3.624268,7.11
ADD,uint16_t,1,1024,16,5.787667,6.239564,7.81
ADD,uint16_t,1,512,64,10.068333,11.120679,10.45
ADD,uint16_t,1,512,128,19.675667,21.717324,10.38
ADD,uint16_t,1,1024,32,10.559333,11.598009,9.84
ADD,uint16_t,1,512,256,38.835333,42.912953,10.50
ADD,uint16_t,1,1024,64,20.085333,22.175344,10.41
ADD,uint16_t,1,2048,8,6.717333,7.182521,6.93
ADD,uint16_t,1,2048,16,11.498667,12.413113,7.95
ADD,uint16_t,1,2048,32,21.061667,23.130005,9.82
ADD,uint16_t,1,1024,128,39.279333,43.368633,10.41
ADD,uint16_t,1,4096,8,13.406333,14.299029,6.66
ADD,uint16_t,1,2048,64,40.093667,44.284674,10.45
ADD,uint16_t,1,1024,256,77.565667,85.759893,10.56
ADD,uint16_t,1,4096,16,22.941000,24.760213,7.93
ADD,uint16_t,1,2048,128,78.506667,86.671253,10.40
ADD,uint16_t,1,4096,32,42.048333,46.193996,9.86
ADD,uint16_t,1,8192,8,26.753000,28.532044,6.65
ADD,uint16_t,1,4096,64,80.164000,88.503335,10.40
ADD,uint16_t,1,8192,16,45.823333,49.454412,7.92
ADD,uint16_t,1,2048,256,155.088667,171.453772,10.55
ADD,uint16_t,1,8192,32,84.050000,92.321977,9.84
ADD,uint16_t,1,4096,128,156.944667,173.276492,10.41
ADD,uint16_t,1,16384,8,53.432333,56.998073,6.67
ADD,uint16_t,1,16384,16,91.590667,98.842809,7.92
ADD,uint16_t,1,8192,64,160.213333,176.940656,10.44
ADD,uint16_t,2,256,8,0.893000,0.960372,7.54
ADD,uint16_t,1,4096,256,310.178333,342.841529,10.53
ADD,uint16_t,2,256,16,1.485333,1.634143,10.02
ADD,uint16_t,1,16384,32,168.025667,184.577941,9.85
ADD,uint16_t,2,256,32,2.688667,2.970902,10.50
ADD,uint16_t,2,256,64,5.081667,5.678594,11.75
ADD,uint16_t,1,8192,128,313.806000,346.486969,10.41
ADD,uint16_t,2,512,8,1.716667,1.854572,8.03
ADD,uint16_t,2,256,128,10.067667,11.053527,9.79
ADD,uint16_t,2,256,256,19.449667,21.853897,12.36
ADD,uint16_t,2,512,16,2.909000,3.202106,10.08
ADD,uint16_t,2,512,32,5.314333,5.875595,10.56
ADD,uint16_t,2,512,64,10.100333,11.290882,11.79
ADD,uint16_t,2,512,128,20.076000,22.040737,9.79
ADD,uint16_t,2,1024,8,3.386333,3.642974,7.58
ADD,uint16_t,2,1024,16,5.774667,6.338033,9.76
ADD,uint16_t,1,16384,64,320.405000,353.815298,10.43
ADD,uint16_t,2,512,256,38.840333,43.641471,12.36
ADD,uint16_t,2,1024,32,10.563000,11.684981,10.62
ADD,uint16_t,2,1024,64,20.114667,22.515458,11.94
ADD,uint16_t,2,2048,8,6.730000,7.219776,7.28
ADD,uint16_t,2,1024,128,40.096000,44.015155,9.77
ADD,uint16_t,2,2048,16,11.503667,12.609887,9.62
ADD,uint16_t,2,2048,32,21.080000,23.303754,10.55
ADD,uint16_t,2,1024,256,77.582000,87.216621,12.42
ADD,uint16_t,2,2048,64,40.141333,44.964610,12.02
ADD,uint16_t,1,8192,256,620.192333,685.617045,10.55
ADD,uint16_t,2,4096,8,13.412667,14.373382,7.16
ADD,uint16_t,2,4096,16,22.946667,25.153594,9.62
ADD,uint16_t,2,2048,128,80.138667,87.963991,9.76
ADD,uint16_t,2,4096,32,42.132333,46.541298,10.46
ADD,uint16_t,2,8192,8,26.751000,28.680593,7.21
ADD,uint16_t,1,16384,128,627.711667,692.907925,10.39
ADD,uint16_t,2,4096,64,80.190667,89.862914,12.06
ADD,uint16_t,2,2048,256,155.138000,174.366921,12.39
ADD,uint16_t,2,8192,16,45.823667,50.241009,9.64
ADD,uint16_t,2,4096,128,159.125333,175.861665,10.52
ADD,uint16_t,2,8192,32,84.169000,93.016386,10.51
ADD,uint16_t,2,16384,8,53.430333,57.295015,7.23
ADD,uint16_t,2,8192,64,160.302667,179.659522,12.08
ADD,uint16_t,2,16384,16,91.599333,100.415839,9.63
ADD,uint16_t,2,4096,256,310.189667,348.667519,12.40
ADD,uint16_t,4,256,8,0.894333,0.974146,8.92
ADD,uint16_t,2,16384,32,168.198333,185.966563,10.56
ADD,uint16_t,4,256,16,1.534667,1.667712,8.67
ADD,uint16_t,4,256,32,2.720000,3.045423,11.96
ADD,uint16_t,2,8192,128,315.984667,351.657011,11.29
ADD,uint16_t,4,256,64,5.120333,5.682948,10.99
ADD,uint16_t,4,256,128,10.067667,11.059744,9.85
ADD,uint16_t,4,256,256,19.457667,21.863405,12.36
ADD,uint16_t,4,512,8,1.746333,1.878797,7.59
ADD,uint16_t,4,512,16,3.024333,3.265362,7.97
ADD,uint16_t,4,512,32,5.389333,6.023057,11.76
ADD,uint16_t,4,512,64,10.140667,11.295579,11.39
ADD,uint16_t,2,16384,64,320.607333,359.252738,12.05
ADD,uint16_t,4,1024,8,3.416000,3.688091,7.97
ADD,uint16_t,4,512,128,19.955667,22.047186,10.48
ADD,uint16_t,4,1024,16,5.969667,6.467223,8.33
ADD,uint16_t,1,16384,256,1240.276000,1371.168076,10.55
ADD,uint16_t,4,512,256,38.850667,43.650983,12.36
ADD,uint16_t,4,1024,32,10.732667,11.978319,11.61
ADD,uint16_t,4,1024,64,20.196333,22.520837,11.51
ADD,uint16_t,4,2048,8,6.805000,7.306680,7.37
ADD,uint16_t,4,1024,128,39.847000,44.022066,10.48
ADD,uint16_t,4,2048,16,11.620000,12.870945,10.77
ADD,uint16_t,2,8192,256,620.353667,697.268717,12.40
ADD,uint16_t,4,2048,32,21.407333,23.888844,11.59
ADD,uint16_t,4,1024,256,77.616667,87.226132,12.38
ADD,uint16_t,4,2048,64,40.268333,44.971351,11.68
ADD,uint16_t,4,4096,8,13.558000,14.543856,7.27
ADD,uint16_t,4,4096,16,23.510333,25.678390,9.22
ADD,uint16_t,4,2048,128,79.603000,87.971824,10.51
ADD,uint16_t,4,4096,32,42.760667,47.709894,11.57
ADD,uint16_t,4,8192,8,27.073000,29.018210,7.19
ADD,uint16_t,4,4096,64,80.372333,89.872380,11.82
ADD,uint16_t,2,16384,128,640.598000,703.247703,9.78
ADD,uint16_t,4,2048,256,155.130667,174.376432,12.41
ADD,uint16_t,4,8192,16,46.411000,51.293280,10.52
ADD,uint16_t,4,4096,128,160.200667,175.871342,9.78
ADD,uint16_t,4,8192,32,85.488000,95.351994,11.54
ADD,uint16_t,4,16384,8,54.076333,57.966917,7.19
ADD,uint16_t,4,8192,64,160.812667,179.674438,11.73
ADD,uint16_t,4,16384,16,93.287333,102.523061,9.90
