operation,data_type,thread,iteration,buffer_size,measured,predicted,error_percent
ADD,uint16_t,1,256,8,0.875000,0.899257,2.77
ADD,uint16_t,1,512,8,1.720000,1.732501,0.73
ADD,uint16_t,1,512,16,2.921667,3.040149,4.06
ADD,uint16_t,1,256,16,1.482333,1.553081,4.77
ADD,uint16_t,1,256,32,2.671333,2.892693,8.29
ADD,uint16_t,1,256,64,5.051667,5.537026,9.61
ADD,uint16_t,1,256,128,9.857333,10.835349,9.92
ADD,uint16_t,1,256,256,19.448333,21.433164,10.21
ADD,uint16_t,1,512,32,5.302333,5.719372,7.87
ADD,uint16_t,1,1024,8,3.383667,3.398988,0.45
ADD,uint16_t,1,1024,16,5.787667,6.014284,3.92
ADD,uint16_t,1,512,64,10.068333,11.008039,9.33
ADD,uint16_t,1,512,128,19.675667,21.604684,9.80
ADD,uint16_t,1,1024,32,10.559333,11.372729,7.70
ADD,uint16_t,1,512,256,38.835333,42.800313,10.21
ADD,uint16_t,1,1024,64,20.085333,21.950064,9.28
ADD,uint16_t,1,2048,8,6.717333,6.731961,0.22
ADD,uint16_t,1,2048,16,11.498667,11.962553,4.03
ADD,uint16_t,1,2048,32,21.061667,22.679445,7.68
ADD,uint16_t,1,1024,128,39.279333,43.143353,9.84
ADD,uint16_t,1,4096,8,13.406333,13.397909,-0.06
ADD,uint16_t,1,2048,64,40.093667,43.834114,9.33
ADD,uint16_t,1,1024,256,77.565667,85.534613,10.27
ADD,uint16_t,1,4096,16,22.941000,23.859093,4.00
ADD,uint16_t,1,2048,128,78.506667,86.220693,9.83
ADD,uint16_t,1,4096,32,42.048333,45.292876,7.72
ADD,uint16_t,1,8192,8,26.753000,26.729804,-0.09
ADD,uint16_t,1,4096,64,80.164000,87.602215,9.28
ADD,uint16_t,1,8192,16,45.823333,47.652172,3.99
ADD,uint16_t,1,2048,256,155.088667,171.003212,10.26
ADD,uint16_t,1,8192,32,84.050000,90.519737,7.70
ADD,uint16_t,1,4096,128,156.944667,172.375372,9.83
ADD,uint16_t,1,16384,8,53.432333,53.393593,-0.07
ADD,uint16_t,1,16384,16,91.590667,95.238329,3.98
ADD,uint16_t,1,8192,64,160.213333,175.138416,9.32
ADD,uint16_t,2,256,8,0.893000,0.912097,2.14
ADD,uint16_t,1,4096,256,310.178333,341.940409,10.24
ADD,uint16_t,2,256,16,1.485333,1.591479,7.15
ADD,uint16_t,1,16384,32,168.025667,180.973461,7.71
ADD,uint16_t,2,256,32,2.688667,2.927480,8.88
ADD,uint16_t,2,256,64,5.081667,5.662377,11.43
ADD,uint16_t,1,8192,128,313.806000,344.684729,9.84
ADD,uint16_t,2,512,8,1.716667,1.758024,2.41
ADD,uint16_t,2,256,128,10.067667,11.037310,9.63
ADD,uint16_t,2,256,256,19.449667,21.837679,12.28
ADD,uint16_t,2,512,16,2.909000,3.116800,7.14
ADD,uint16_t,2,512,32,5.314333,5.788770,8.93
ADD,uint16_t,2,512,64,10.100333,11.258573,11.47
ADD,uint16_t,2,512,128,20.076000,22.008428,9.63
ADD,uint16_t,2,1024,8,3.386333,3.449877,1.88
ADD,uint16_t,2,1024,16,5.774667,6.167442,6.80
ADD,uint16_t,1,16384,64,320.405000,350.210818,9.30
ADD,uint16_t,2,512,256,38.840333,43.609163,12.28
ADD,uint16_t,2,1024,32,10.563000,11.511351,8.98
ADD,uint16_t,2,1024,64,20.114667,22.450966,11.61
ADD,uint16_t,2,2048,8,6.730000,6.833582,1.54
ADD,uint16_t,2,1024,128,40.096000,43.950663,9.61
ADD,uint16_t,2,2048,16,11.503667,12.268727,6.65
ADD,uint16_t,2,2048,32,21.080000,22.956511,8.90
ADD,uint16_t,2,1024,256,77.582000,87.152130,12.34
ADD,uint16_t,2,2048,64,40.141333,44.835753,11.69
ADD,uint16_t,1,8192,256,620.192333,683.814805,10.26
ADD,uint16_t,2,4096,8,13.412667,13.600993,1.40
ADD,uint16_t,2,4096,16,22.946667,24.471296,6.64
ADD,uint16_t,2,2048,128,80.138667,87.835134,9.60
ADD,uint16_t,2,4096,32,42.132333,45.846831,8.82
ADD,uint16_t,2,8192,8,26.751000,27.135816,1.44
ADD,uint16_t,1,16384,128,627.711667,689.303445,9.81
ADD,uint16_t,2,4096,64,80.190667,89.605325,11.74
ADD,uint16_t,2,2048,256,155.138000,174.238063,12.31
ADD,uint16_t,2,8192,16,45.823667,48.876434,6.66
ADD,uint16_t,2,4096,128,159.125333,175.604076,10.36
ADD,uint16_t,2,8192,32,84.169000,91.627472,8.86
ADD,uint16_t,2,16384,8,53.430333,54.205461,1.45
ADD,uint16_t,2,8192,64,160.302667,179.144470,11.75
ADD,uint16_t,2,16384,16,91.599333,97.686711,6.65
ADD,uint16_t,2,4096,256,310.189667,348.409931,12.32
