operation,data_type,thread,iteration,vec_length,n_length,buffer_size,latency,correct
MATMUL,uint32_t,1,16,16,16,16,2.466,True
MATMUL,uint32_t,1,16,16,16,8,2.678667,True
MATMUL,uint32_t,1,16,16,16,4,3.125667,True
MATMUL,uint32_t,1,16,16,32,4,6.22,True
MATMUL,uint32_t,1,16,16,32,16,4.879667,True
MATMUL,uint32_t,1,16,16,32,8,5.283333,True
MATMUL,uint32_t,1,16,16,64,8,10.474667,True
MATMUL,uint32_t,1,16,16,64,4,12.354333,True
MATMUL,uint32_t,1,16,16,64,16,9.705333,True
MATMUL,uint32_t,1,16,16,128,16,19.351667,True
MATMUL,uint32_t,1,16,16,128,4,24.645333,True
MATMUL,uint32_t,1,16,16,128,8,20.905667,True
MATMUL,uint32_t,1,16,16,256,16,38.633333,True
MATMUL,uint32_t,1,16,16,256,4,49.240667,True
MATMUL,uint32_t,1,16,16,256,8,41.725333,True
MATMUL,uint32_t,1,16,32,16,4,6.065667,True
MATMUL,uint32_t,1,16,32,16,8,5.202,True
MATMUL,uint32_t,1,16,32,16,16,4.829333,True
MATMUL,uint32_t,1,16,32,32,8,10.410667,True
MATMUL,uint32_t,1,16,32,32,4,12.111,True
MATMUL,uint32_t,1,16,16,512,4,98.460333,True
MATMUL,uint32_t,1,16,32,32,16,9.604333,True
MATMUL,uint32_t,1,16,32,32,32,9.270667,True
MATMUL,uint32_t,1,16,16,512,16,77.210667,True
MATMUL,uint32_t,1,16,16,512,8,83.412333,True
MATMUL,uint32_t,1,16,32,64,4,24.151667,True
MATMUL,uint32_t,1,16,32,64,16,19.156,True
MATMUL,uint32_t,1,16,32,64,8,20.617667,True
MATMUL,uint32_t,1,16,32,64,32,18.502,True
MATMUL,uint32_t,1,16,32,128,8,41.144,True
MATMUL,uint32_t,1,16,32,128,4,48.256333,True
MATMUL,uint32_t,1,16,32,128,32,36.934667,True
MATMUL,uint32_t,1,16,32,128,16,38.246,True
MATMUL,uint32_t,1,16,32,256,8,82.313,True
MATMUL,uint32_t,1,16,32,256,16,76.417333,True
MATMUL,uint32_t,1,16,32,256,4,96.366667,True
MATMUL,uint32_t,1,16,32,256,32,73.803333,True
MATMUL,uint32_t,1,16,64,16,4,12.009,True
MATMUL,uint32_t,1,16,64,16,16,9.543,True
MATMUL,uint32_t,1,16,64,16,8,10.271,True
MATMUL,uint32_t,1,16,64,32,4,23.988,True
MATMUL,uint32_t,1,16,32,512,32,147.611,True
MATMUL,uint32_t,1,16,32,512,16,152.734,True
MATMUL,uint32_t,1,16,64,32,16,19.047333,True
MATMUL,uint32_t,1,16,64,32,8,20.487,True
MATMUL,uint32_t,1,16,64,32,32,18.424333,True
MATMUL,uint32_t,1,16,32,512,8,164.469333,True
MATMUL,uint32_t,1,16,32,512,4,192.671,True
MATMUL,uint32_t,1,16,64,64,4,47.887333,True
MATMUL,uint32_t,1,16,64,64,8,40.899333,True
