operation,data_type,thread,iteration,vec_length,buffer_size,latency,correct
MATVEC,uint32_t,1,16,16,8,0.219,True
MATVEC,uint32_t,1,16,16,16,0.197,True
MATVEC,uint32_t,1,16,32,8,0.352667,True
MATVEC,uint32_t,1,16,32,16,0.326667,True
MATVEC,uint32_t,1,16,32,32,0.311667,True
MATVEC,uint32_t,1,16,64,8,0.644,True
MATVEC,uint32_t,1,16,64,16,0.580333,True
MATVEC,uint32_t,1,16,64,32,0.553,True
MATVEC,uint32_t,1,16,64,64,0.536667,True
MATVEC,uint32_t,1,16,128,8,1.214333,True
MATVEC,uint32_t,1,16,128,16,1.095667,True
MATVEC,uint32_t,1,16,128,32,1.065334,True
MATVEC,uint32_t,1,16,128,64,1.034555,True
MATVEC,uint32_t,1,16,128,128,1.013,True
MATVEC,uint32_t,1,16,256,8,2.369667,True
MATVEC,uint32_t,1,16,256,16,2.143333,True
MATVEC,uint32_t,1,16,256,32,2.048,True
MATVEC,uint32_t,1,16,256,64,1.974333,True
MATVEC,uint32_t,1,16,256,128,1.964889,True
MATVEC,uint32_t,1,16,256,256,1.929333,True
MATVEC,uint32_t,1,16,512,8,4.669667,True
MATVEC,uint32_t,1,16,512,16,4.216333,True
MATVEC,uint32_t,1,16,512,32,4.017333,True
MATVEC,uint32_t,1,16,512,64,3.886667,True
MATVEC,uint32_t,1,16,512,128,3.829333,True
MATVEC,uint32_t,1,16,512,256,3.806,True
MATVEC,uint32_t,1,16,1024,8,9.252,True
MATVEC,uint32_t,1,16,1024,16,8.379444,True
MATVEC,uint32_t,1,16,1024,32,7.980556,True
MATVEC,uint32_t,1,16,1024,64,7.709667,True
MATVEC,uint32_t,1,16,1024,128,7.605222,True
MATVEC,uint32_t,1,16,1024,256,7.538,True
MATVEC,uint32_t,1,16,2048,8,18.442667,True
MATVEC,uint32_t,1,16,2048,16,16.652667,True
MATVEC,uint32_t,1,16,2048,32,16.034333,True
MATVEC,uint32_t,1,16,2048,64,15.345333,True
MATVEC,uint32_t,1,16,2048,128,15.128700,True
