data_type,thread,iteration,buffer_size,latency,correct
uint16_t,1,128,32,3.486667,True
uint16_t,1,256,16,3.565333,True
uint16_t,1,256,8,1.867333,True
uint16_t,1,128,16,1.811,True
uint16_t,1,128,8,0.960333,True
uint16_t,1,128,64,6.865,True
uint16_t,1,256,32,6.906333,True
uint16_t,1,128,128,13.593,True
uint16_t,1,512,8,3.669333,True
uint16_t,1,512,16,7.056,True
uint16_t,1,256,64,13.631333,True
uint16_t,1,1024,8,7.280667,True
uint16_t,1,512,32,13.758,True
uint16_t,1,256,128,27.101667,True
uint16_t,1,512,64,27.243333,True
uint16_t,1,512,128,54.168333,True
uint16_t,1,1024,16,14.069667,True
uint16_t,1,2048,8,14.472,True
uint16_t,1,1024,32,27.468333,True
uint16_t,1,2048,16,28.062,True
uint16_t,1,1024,64,54.396667,True
uint16_t,1,2048,32,54.852333,True
uint16_t,1,4096,8,28.887667,True
uint16_t,1,1024,128,108.270667,True
uint16_t,1,4096,16,56.073,True
uint16_t,1,2048,64,108.74,True
uint16_t,1,4096,32,109.676667,True
uint16_t,1,8192,8,57.700333,True
uint16_t,1,2048,128,216.369667,True
uint16_t,1,8192,16,112.108667,True
uint16_t,1,4096,64,217.348,True
uint16_t,1,16384,8,115.357,True
uint16_t,1,8192,32,219.185,True
uint16_t,2,128,8,0.97,True
uint16_t,2,128,16,1.812333,True
uint16_t,1,16384,16,223.892667,True
uint16_t,1,4096,128,432.701,True
uint16_t,2,128,32,3.496,True
uint16_t,2,128,64,6.859,True
uint16_t,2,256,8,1.872333,True
uint16_t,2,128,128,13.576333,True
uint16_t,2,256,16,3.571667,True
uint16_t,1,8192,64,434.671,True
uint16_t,2,256,32,6.911,True
uint16_t,2,256,64,13.654667,True
uint16_t,2,512,8,3.666667,True
uint16_t,2,512,16,7.072333,True
uint16_t,2,256,128,27.110333,True
uint16_t,2,512,32,13.762,True
uint16_t,1,16384,32,438.302667,True
uint16_t,2,512,64,27.231333,True
uint16_t,2,1024,8,7.283333,True
uint16_t,2,1024,16,14.066333,True
uint16_t,2,512,128,54.151,True
uint16_t,2,1024,32,27.469,True
uint16_t,2,1024,64,54.398,True
uint16_t,2,2048,8,14.470333,True
uint16_t,2,2048,16,28.075333,True
uint16_t,2,1024,128,108.257,True
uint16_t,2,2048,32,54.863333,True
uint16_t,2,4096,8,28.893,True
uint16_t,2,2048,64,108.740333,True
uint16_t,2,4096,16,56.057,True
uint16_t,1,8192,128,865.336333,True
uint16_t,2,4096,32,109.692,True
uint16_t,2,2048,128,216.421667,True
uint16_t,2,8192,8,57.756,True
uint16_t,1,16384,64,868.973333,True
uint16_t,2,4096,64,217.327333,True
uint16_t,2,8192,16,112.059333,True
uint16_t,2,8192,32,219.195667,True
uint16_t,2,16384,8,115.378,True
uint16_t,2,4096,128,432.791333,True
uint16_t,2,16384,16,224.082667,True
uint16_t,4,128,8,0.970667,True
uint16_t,4,128,16,1.821667,True
uint16_t,4,128,32,3.491,True
uint16_t,2,8192,64,434.629333,True
uint16_t,4,128,64,6.853,True
uint16_t,4,256,8,1.863667,True
uint16_t,4,128,128,13.593667,True
uint16_t,4,256,16,3.574333,True
uint16_t,4,256,32,6.912333,True
uint16_t,2,16384,32,438.382667,True
uint16_t,4,256,64,13.649667,True
uint16_t,4,256,128,27.119667,True
uint16_t,4,512,8,3.669333,True
uint16_t,4,512,16,7.075333,True
uint16_t,4,512,32,13.763333,True
uint16_t,4,1024,8,7.267,True
uint16_t,4,512,64,27.246,True
uint16_t,4,1024,16,14.082667,True
uint16_t,4,512,128,54.173333,True
uint16_t,4,1024,32,27.472,True
uint16_t,4,2048,8,14.484,True
uint16_t,4,1024,64,54.4,True
uint16_t,4,2048,16,28.078333,True
uint16_t,4,1024,128,108.279,True
uint16_t,4,2048,32,54.849333,True
uint16_t,2,8192,128,865.364,True
uint16_t,1,16384,128,1730.369667,True
uint16_t,4,4096,8,28.905333,True
uint16_t,4,2048,64,108.756,True
uint16_t,4,4096,16,56.087667,True
uint16_t,4,4096,32,109.673667,True
uint16_t,4,8192,8,57.732667,True
uint16_t,2,16384,64,869.192667,True
uint16_t,4,2048,128,216.372,True
uint16_t,4,8192,16,112.105333,True
uint16_t,4,4096,64,217.387333,True
uint16_t,4,16384,8,115.375,True
uint16_t,4,8192,32,219.164667,True
uint16_t,4,4096,128,432.701333,True
uint16_t,4,16384,16,224.163,True
uint16_t,8,128,8,0.977333,True
uint16_t,8,128,16,1.825667,True
uint16_t,8,128,32,3.495333,True
uint16_t,8,128,64,6.858,True
uint16_t,4,8192,64,434.649,True
uint16_t,8,256,8,1.873667,True
uint16_t,8,256,16,3.575667,True
uint16_t,8,128,128,13.597667,True
uint16_t,8,256,32,6.924667,True
uint16_t,8,256,64,13.659,True
uint16_t,4,16384,32,438.362,True
uint16_t,8,256,128,27.132,True
uint16_t,8,512,8,3.685333,True
uint16_t,8,512,16,7.072,True
uint16_t,8,512,32,13.769333,True
uint16_t,8,512,64,27.252333,True
uint16_t,8,1024,8,7.281667,True
uint16_t,8,1024,16,14.089667,True
uint16_t,8,512,128,54.183667,True
uint16_t,8,1024,32,27.477,True
uint16_t,8,2048,8,14.494333,True
uint16_t,8,1024,64,54.400667,True
