operation,data_type,iteration,cycle_count
ADD,1,uint16_t,6.294763183593746e-05,22.03167114257811
ADD,1,uint32_t,3.1412719726562504e-05,10.994451904296877
ADD,1,uint64_t,3.1717956542968756e-05,11.101284790039065
ADD,1,float,0.0019523721923828123,683.3302673339844
ADD,1,double,0.0028658651123046877,1003.0527893066406
SUB,1,uint16_t,6.280517578125e-05,21.981811523437496
SUB,1,uint32_t,3.102618408203122e-05,10.859164428710926
SUB,1,uint64_t,3.147375488281247e-05,11.015814208984365
SUB,1,float,0.00147991943359375,517.9718017578125
SUB,1,double,0.00192205810546875,672.7203369140625
MUL,1,uint16_t,3.139245605468749e-05,10.987359619140621
MUL,1,uint64_t,0.0040602213745117195,1421.0774810791017
MUL,1,float,0.005542276977539062,1939.7969421386717
MUL,1,double,0.02056526690673828,7197.843417358398
DIV,1,uint16_t,0.00031534832763671877,110.37191467285157
DIV,1,uint32_t,0.0002836914062499999,99.29199218749997
DIV,1,uint64_t,0.0014799398193359376,517.9789367675781
DIV,1,float,0.032303894042968746,11306.36291503906
DIV,1,double,0.06723787432861328,23533.25601501465
LOAD,1,uint16_t,3.129071044921875e-05,10.951748657226561
LOAD,1,uint32_t,3.210449218749999e-05,11.236572265624996
LOAD,1,uint64_t,3.10872802734375e-05,10.880548095703125
LOAD,1,float,3.145343017578125e-05,11.008700561523439
LOAD,1,double,3.1799316406249994e-05,11.129760742187498
STORE,1,uint16_t,3.120928955078125e-05,10.923251342773439
STORE,1,uint32_t,3.1270324707031246e-05,10.944613647460937
STORE,1,uint64_t,3.216552734375001e-05,11.257934570312504
STORE,1,float,3.1311035156249994e-05,10.958862304687498
STORE,1,double,3.153485107421875e-05,11.037197875976561
