operation,data_type,iteration,cycle_count
DMA_LOAD,8,1,WITH,
DMA_LOAD,8,1,WITHOUT,
DMA_LOAD,16,1,WITH,
DMA_LOAD,16,1,WITHOUT,
DMA_LOAD,32,1,WITH,
DMA_LOAD,32,1,WITHOUT,
DMA_LOAD,64,1,WITH,
DMA_LOAD,64,1,WITHOUT,
DMA_LOAD,128,1,WITH,
DMA_LOAD,128,1,WITHOUT,
DMA_LOAD,256,1,WITH,
DMA_LOAD,256,1,WITHOUT,
DMA_LOAD,512,1,WITH,
DMA_LOAD,512,1,WITHOUT,
DMA_LOAD,1024,1,WITH,
DMA_LOAD,1024,1,WITHOUT,
DMA_LOAD,2048,1,WITH,
DMA_LOAD,2048,1,WITHOUT,
DMA_STORE,8,1,WITH,
DMA_STORE,8,1,WITHOUT,
DMA_STORE,16,1,WITH,
DMA_STORE,16,1,WITHOUT,
DMA_STORE,32,1,WITH,
DMA_STORE,32,1,WITHOUT,
DMA_STORE,64,1,WITH,
DMA_STORE,64,1,WITHOUT,
DMA_STORE,128,1,WITH,
DMA_STORE,128,1,WITHOUT,
DMA_STORE,256,1,WITH,
DMA_STORE,256,1,WITHOUT,
DMA_STORE,512,1,WITH,
DMA_STORE,512,1,WITHOUT,
DMA_STORE,1024,1,WITH,
DMA_STORE,1024,1,WITHOUT,
DMA_STORE,2048,1,WITH,
DMA_STORE,2048,1,WITHOUT,
