operation,data_type,iteration,cycle_count
DMA_LOAD,16,1,9.989440917968744e-06,90.49630432128906
DMA_LOAD,32,1,2.638751220703124e-05,9.235629272460935
DMA_LOAD,64,1,5.603027343749998e-05,19.610595703124993
DMA_LOAD,128,1,0.00017073565673828123,59.757479858398426
DMA_LOAD,256,1,0.0005351155395507812,187.29043884277343
DMA_LOAD,512,1,0.00172442626953125,603.5491943359375
DMA_LOAD,1024,1,0.006396870910644531,2238.9048187255858
DMA_STORE,16,1,8.4228515625e-06,90.9479980468750004
DMA_STORE,32,1,2.0792663574218753e-05,70.277432250976563
DMA_STORE,64,1,5.16153564453125e-05,18.065374755859377
DMA_STORE,128,1,0.0001627197265625,56.951904296875
DMA_STORE,256,1,0.0005120849609374999,179.22973632812497
DMA_STORE,512,1,0.0017242024536132813,603.4708587646485
DMA_STORE,1024,1,0.006306477844238281,2207.2672454833983
