operation,data_type,iteration,cycle_count
ADD,1,uint16_t,6.293983459472657e-05,22.028942108154297
ADD,1,uint32_t,3.1418228149414064e-05,10.996379852294922
ADD,1,uint64_t,3.158330917358398e-05,11.054158210754393
ADD,1,float,0.0019522154808044433,683.2754182815552
ADD,1,double,0.0028655795097351075,1002.9528284072876
SUB,1,uint16_t,6.291713714599609e-05,22.020998001098633
SUB,1,uint32_t,3.1414699554443366e-05,10.995144844055178
SUB,1,uint64_t,3.156671524047853e-05,11.048350334167484
SUB,1,float,0.0014797809600830079,517.9233360290527
SUB,1,double,0.001920777130126953,672.2719955444336
MUL,1,uint16_t,3.159582519531251e-05,11.058538818359379
MUL,1,uint64_t,0.004062255859375001,1421.7895507812502
MUL,1,float,0.005542195617675782,1939.7684661865237
MUL,1,double,0.020559102416992187,7195.685845947265
DIV,1,uint16_t,0.00031469726562500004,110.14404296875001
DIV,1,uint32_t,0.0002835693359375,99.249267578125
DIV,1,uint64_t,0.001480631530761719,518.2210357666016
DIV,1,float,0.032304443359375004,11306.555175781252
DIV,1,double,0.06721970623779297,23526.89718322754
LOAD,1,uint16_t,3.18197021484375e-05,11.136895751953125
LOAD,1,uint32_t,3.13314208984375e-05,10.965997314453125
LOAD,1,uint64_t,3.129071044921875e-05,10.951748657226561
LOAD,1,float,3.183996582031251e-05,11.143988037109379
LOAD,1,double,3.1901062011718736e-05,11.165371704101558
STORE,1,uint16_t,3.1962097167968756e-05,11.186734008789065
STORE,1,uint32_t,3.139245605468752e-05,10.987359619140632
STORE,1,uint64_t,3.167724609375001e-05,11.087036132812504
STORE,1,float,3.186035156249999e-05,11.151123046874996
STORE,1,double,3.147381591796873e-05,11.015835571289054
