operation,data_type,iteration,cycle_count
ADD,1,uint16_t,WITH,5.277667	
ADD,1,uint16_t,WITHOUT,4.250667	
ADD,1,uint32_t,WITH,5.280333	
ADD,1,uint32_t,WITHOUT,4.766333	
ADD,1,uint64_t,WITH,5.794333	
ADD,1,uint64_t,WITHOUT,5.280333	
ADD,1,float,WITH,36.760333	
ADD,1,float,WITHOUT,4.770333	
ADD,1,double,WITH,52.238667	
ADD,1,double,WITHOUT,5.285000	
SUB,1,uint16_t,WITH,5.282333	
SUB,1,uint16_t,WITHOUT,4.253333	
SUB,1,uint32_t,WITH,5.283667	
SUB,1,uint32_t,WITHOUT,4.760667	
SUB,1,uint64_t,WITH,5.797000	
SUB,1,uint64_t,WITHOUT,5.279667	
SUB,1,float,WITH,29.018000	
SUB,1,float,WITHOUT,4.771000	
SUB,1,double,WITH,36.758667	
SUB,1,double,WITHOUT,5.275000	
MUL,1,uint16_t,WITH,4.759333	
MUL,1,uint16_t,WITHOUT,4.241667	
MUL,1,uint64_t,WITH,71.833667	
MUL,1,uint64_t,WITHOUT,5.277667	
MUL,1,float,WITH,95.566000	
MUL,1,float,WITHOUT,4.762667	
MUL,1,double,WITH,342.114667	
MUL,1,double,WITHOUT,5.274333	
DIV,1,uint16_t,WITH,9.399667	
DIV,1,uint16_t,WITHOUT,4.243667	
DIV,1,uint32_t,WITH,9.401000	
DIV,1,uint32_t,WITHOUT,4.755000	
DIV,1,uint64_t,WITH,29.524667	
DIV,1,uint64_t,WITHOUT,5.266000	
DIV,1,float,WITH,534.036333	
DIV,1,float,WITHOUT,4.760333	
DIV,1,double,WITH,1106.606000	
DIV,1,double,WITHOUT,5.278333	
LOAD,1,uint16_t,WITH,3.726667	
LOAD,1,uint16_t,WITHOUT,3.205333	
LOAD,1,uint32_t,WITH,3.723667	
LOAD,1,uint32_t,WITHOUT,3.210333	
LOAD,1,uint64_t,WITH,3.721000	
LOAD,1,uint64_t,WITHOUT,3.208333	
LOAD,1,float,WITH,3.728333	
LOAD,1,float,WITHOUT,3.206667	
LOAD,1,double,WITH,3.730000	
LOAD,1,double,WITHOUT,3.207333	
STORE,1,uint16_t,WITH,3.729000	
STORE,1,uint16_t,WITHOUT,3.205333	
STORE,1,uint32_t,WITH,3.724667	
STORE,1,uint32_t,WITHOUT,3.210333	
STORE,1,uint64_t,WITH,3.725000	
STORE,1,uint64_t,WITHOUT,3.206000	
STORE,1,float,WITH,3.727667	
STORE,1,float,WITHOUT,3.205667	
STORE,1,double,WITH,3.723667	
STORE,1,double,WITHOUT,3.208000	
