operation,data_type,thread,iteration,buffer_size,latency,correct
ADD,uint16_t,1,256,8,0.706333,True
ADD,uint16_t,1,512,8,1.354333,True
ADD,uint16_t,1,512,16,2.278333,True
ADD,uint16_t,1,256,16,1.161,True
ADD,uint16_t,1,256,64,3.944,True
ADD,uint16_t,1,256,32,2.095,True
ADD,uint16_t,1,256,128,7.658,True
ADD,uint16_t,1,256,256,15.073333,True
ADD,uint16_t,1,512,32,4.119667,True
ADD,uint16_t,1,1024,16,4.499667,True
ADD,uint16_t,1,1024,8,2.669667,True
ADD,uint16_t,1,512,64,7.849333,True
ADD,uint16_t,1,1024,32,8.189,True
ADD,uint16_t,1,512,128,15.255333,True
ADD,uint16_t,1,512,256,30.094667,True
ADD,uint16_t,1,1024,64,15.652667,True
ADD,uint16_t,1,2048,8,5.287,True
ADD,uint16_t,1,2048,16,8.943,True
ADD,uint16_t,1,2048,32,16.324,True
ADD,uint16_t,1,1024,128,30.467,True
ADD,uint16_t,1,2048,64,31.238667,True
ADD,uint16_t,1,4096,8,10.531333,True
ADD,uint16_t,1,1024,256,60.128667,True
ADD,uint16_t,1,4096,16,17.836667,True
ADD,uint16_t,1,2048,128,60.878333,True
ADD,uint16_t,1,4096,32,32.608,True
ADD,uint16_t,1,8192,8,21.044,True
ADD,uint16_t,1,4096,64,62.427667,True
ADD,uint16_t,1,2048,256,120.187,True
ADD,uint16_t,1,8192,16,35.608,True
ADD,uint16_t,1,8192,32,65.113333,True
ADD,uint16_t,1,4096,128,121.660667,True
ADD,uint16_t,1,16384,8,42.019333,True
ADD,uint16_t,1,16384,16,71.134,True
ADD,uint16_t,1,8192,64,124.758,True
ADD,uint16_t,1,4096,256,240.28,True
ADD,uint16_t,1,16384,32,130.230667,True
ADD,uint16_t,1,32768,8,83.985,True
ADD,uint16_t,1,8192,128,243.255667,True
ADD,uint16_t,1,16384,64,249.506667,True
ADD,uint16_t,1,32768,16,142.224,True
ADD,uint16_t,2,256,8,0.709333,True
ADD,uint16_t,2,256,16,1.154667,True
ADD,uint16_t,2,256,32,2.079,True
ADD,uint16_t,1,8192,256,480.430667,True
ADD,uint16_t,1,32768,32,260.381667,True
ADD,uint16_t,2,256,64,4.036667,True
ADD,uint16_t,2,256,128,7.653333,True
ADD,uint16_t,2,512,8,1.527667,True
ADD,uint16_t,2,256,256,15.081,True
ADD,uint16_t,2,512,16,2.269,True
ADD,uint16_t,1,16384,128,486.497667,True
ADD,uint16_t,2,512,32,4.128667,True
ADD,uint16_t,2,512,64,7.96,True
ADD,uint16_t,2,512,128,15.252667,True
ADD,uint16_t,2,1024,8,2.674667,True
ADD,uint16_t,2,1024,16,4.496667,True
ADD,uint16_t,2,512,256,30.099333,True
ADD,uint16_t,2,1024,32,8.227667,True
ADD,uint16_t,2,1024,64,15.834,True
ADD,uint16_t,2,2048,8,5.330333,True
ADD,uint16_t,2,1024,128,30.475,True
ADD,uint16_t,1,32768,64,498.898333,True
ADD,uint16_t,2,2048,16,8.938333,True
ADD,uint16_t,2,1024,256,60.139333,True
ADD,uint16_t,2,2048,32,16.337,True
ADD,uint16_t,2,2048,64,31.287333,True
ADD,uint16_t,2,4096,8,10.714667,True
ADD,uint16_t,2,4096,16,17.828333,True
ADD,uint16_t,2,2048,128,60.850667,True
ADD,uint16_t,2,4096,32,32.617333,True
ADD,uint16_t,2,2048,256,120.175333,True
ADD,uint16_t,2,4096,64,62.551667,True
ADD,uint16_t,2,8192,8,21.377667,True
ADD,uint16_t,2,8192,16,35.612333,True
ADD,uint16_t,2,4096,128,121.664667,True
ADD,uint16_t,2,8192,32,65.159,True
ADD,uint16_t,1,16384,256,960.822,True
ADD,uint16_t,2,16384,8,42.733,True
ADD,uint16_t,2,8192,64,125.080333,True
ADD,uint16_t,2,4096,256,240.265,True
ADD,uint16_t,2,16384,16,71.180667,True
ADD,uint16_t,1,32768,128,972.975333,True
ADD,uint16_t,2,16384,32,130.265667,True
ADD,uint16_t,2,8192,128,243.293333,True
ADD,uint16_t,2,32768,8,85.434667,True
ADD,uint16_t,2,16384,64,249.578,True
ADD,uint16_t,2,32768,16,142.296667,True
ADD,uint16_t,2,8192,256,480.475333,True
ADD,uint16_t,4,256,8,0.728333,True
ADD,uint16_t,2,32768,32,260.498333,True
ADD,uint16_t,4,256,16,1.166333,True
ADD,uint16_t,4,256,32,2.101,True
ADD,uint16_t,4,256,64,4.057333,True
ADD,uint16_t,4,256,128,7.666333,True
ADD,uint16_t,2,16384,128,486.521333,True
ADD,uint16_t,2,32768,256,NA,False
ADD,uint16_t,4,512,8,1.394333,True
ADD,uint16_t,4,256,256,15.087333,True
ADD,uint16_t,4,512,16,2.287333,True
ADD,uint16_t,4,512,32,4.134667,True
ADD,uint16_t,4,512,64,8.005,True
ADD,uint16_t,4,512,128,15.267667,True
ADD,uint16_t,4,1024,8,2.721,True
ADD,uint16_t,4,512,256,30.113,True
ADD,uint16_t,4,1024,16,4.503667,True
ADD,uint16_t,4,1024,32,8.359,True
ADD,uint16_t,2,32768,64,499.276667,True
ADD,uint16_t,4,1024,64,16.033333,True
ADD,uint16_t,4,2048,8,5.396667,True
ADD,uint16_t,4,1024,128,30.481667,True
ADD,uint16_t,4,2048,16,8.958667,True
ADD,uint16_t,4,2048,32,16.351,True
ADD,uint16_t,4,1024,256,60.130667,True
ADD,uint16_t,4,2048,64,31.389333,True
ADD,uint16_t,4,4096,8,10.715,True
ADD,uint16_t,4,4096,16,17.853333,True
ADD,uint16_t,4,2048,128,60.88,True
ADD,uint16_t,4,4096,32,32.658,True
ADD,uint16_t,4,4096,64,63.084667,True
ADD,uint16_t,4,2048,256,120.170667,True
ADD,uint16_t,4,8192,8,21.391667,True
ADD,uint16_t,1,32768,256,1921.594,True
ADD,uint16_t,4,8192,16,35.641333,True
ADD,uint16_t,2,16384,256,960.834333,True
ADD,uint16_t,4,4096,128,121.679333,True
ADD,uint16_t,4,8192,32,65.233,True
ADD,uint16_t,4,16384,8,42.751333,True
ADD,uint16_t,4,8192,64,125.08,True
ADD,uint16_t,4,16384,16,71.228,True
ADD,uint16_t,4,4096,256,240.291333,True
ADD,uint16_t,4,16384,32,130.411,True
ADD,uint16_t,2,32768,128,972.869667,True
ADD,uint16_t,4,8192,128,243.307667,True
ADD,uint16_t,4,32768,8,85.466667,True
ADD,uint16_t,4,16384,256,NA,False
ADD,uint16_t,4,16384,64,252.398667,True
ADD,uint16_t,4,32768,16,142.393333,True
ADD,uint16_t,4,32768,256,NA,False
ADD,uint16_t,8,256,8,0.743333,True
ADD,uint16_t,4,32768,128,NA,False
ADD,uint16_t,8,256,16,1.184333,True
ADD,uint16_t,8,256,32,2.116333,True
ADD,uint16_t,8,256,64,4.065,True
ADD,uint16_t,8,512,8,1.408333,True
ADD,uint16_t,8,256,128,7.675667,True
ADD,uint16_t,8,256,256,15.1,True
ADD,uint16_t,8,512,16,2.307,True
ADD,uint16_t,8,512,32,4.144333,True
ADD,uint16_t,8,512,64,8.066667,True
ADD,uint16_t,4,32768,32,260.699333,True
ADD,uint16_t,8,1024,8,2.767,True
ADD,uint16_t,8,512,128,15.277,True
ADD,uint16_t,8,1024,16,4.563667,True
ADD,uint16_t,4,8192,256,480.473667,True
ADD,uint16_t,8,512,256,30.123,True
ADD,uint16_t,8,1024,32,8.233333,True
ADD,uint16_t,8,1024,64,16.065667,True
ADD,uint16_t,8,2048,8,5.498333,True
ADD,uint16_t,8,1024,128,30.492667,True
ADD,uint16_t,8,2048,16,9.099,True
ADD,uint16_t,8,2048,32,16.367,True
ADD,uint16_t,8,4096,8,10.905,True
ADD,uint16_t,4,16384,128,486.497667,True
ADD,uint16_t,8,1024,256,60.152,True
ADD,uint16_t,8,2048,64,32.075667,True
ADD,uint16_t,8,4096,16,18.084667,True
ADD,uint16_t,8,2048,128,60.936,True
ADD,uint16_t,8,4096,32,32.728667,True
ADD,uint16_t,8,8192,8,21.779333,True
ADD,uint16_t,8,4096,64,64.115333,True
ADD,uint16_t,8,8192,16,36.287,True
ADD,uint16_t,4,32768,64,499.356,True
ADD,uint16_t,8,2048,256,120.189667,True
ADD,uint16_t,8,8192,32,65.394,True
ADD,uint16_t,8,4096,128,121.76,True
ADD,uint16_t,8,16384,8,43.510333,True
ADD,uint16_t,8,8192,256,NA,False
ADD,uint16_t,8,16384,16,72.501,True
ADD,uint16_t,8,8192,64,127.852667,True
ADD,uint16_t,8,16384,128,NA,False
ADD,uint16_t,8,16384,256,NA,False
ADD,uint16_t,8,4096,256,240.284333,True
ADD,uint16_t,8,16384,32,130.682667,True
ADD,uint16_t,8,32768,8,86.973333,True
ADD,uint16_t,16,256,8,1.178333,True
ADD,uint16_t,8,32768,256,NA,False
ADD,uint16_t,16,256,16,1.586333,True
ADD,uint16_t,8,32768,64,NA,False
ADD,uint16_t,8,32768,128,NA,False
ADD,uint16_t,16,256,32,2.897667,True
ADD,uint16_t,8,8192,128,243.460333,True
ADD,uint16_t,8,32768,16,144.717333,True
ADD,uint16_t,16,256,64,5.537667,True
ADD,uint16_t,16,512,8,2.271,True
ADD,uint16_t,16,256,128,10.785333,True
ADD,uint16_t,16,512,16,3.094333,True
ADD,uint16_t,16,256,256,21.326333,True
ADD,uint16_t,16,512,32,5.726333,True
ADD,uint16_t,16,512,64,10.991333,True
ADD,uint16_t,16,1024,8,4.478,True
ADD,uint16_t,16,512,128,21.500333,True
ADD,uint16_t,16,1024,16,6.113,True
ADD,uint16_t,8,16384,64,256.266,True
ADD,uint16_t,16,1024,32,11.374333,True
ADD,uint16_t,16,1024,64,21.888667,True
ADD,uint16_t,16,2048,8,8.871333,True
ADD,uint16_t,16,512,256,42.534667,True
ADD,uint16_t,16,2048,16,12.152333,True
ADD,uint16_t,16,2048,32,22.662667,True
ADD,uint16_t,16,1024,128,42.917,True
ADD,uint16_t,16,4096,8,17.651333,True
ADD,uint16_t,8,32768,32,261.337,True
ADD,uint16_t,16,2048,64,43.671333,True
ADD,uint16_t,16,4096,16,24.214667,True
ADD,uint16_t,16,1024,256,84.958333,True
ADD,uint16_t,16,4096,32,45.242,True
ADD,uint16_t,16,2048,128,85.722,True
ADD,uint16_t,16,8192,8,35.221333,True
ADD,uint16_t,16,4096,256,NA,False
ADD,uint16_t,16,4096,64,87.235333,True
ADD,uint16_t,16,8192,16,48.362667,True
ADD,uint16_t,16,8192,128,NA,False
ADD,uint16_t,16,8192,256,NA,False
ADD,uint16_t,16,2048,256,169.780667,True
ADD,uint16_t,16,8192,32,90.382667,True
ADD,uint16_t,16,16384,8,70.370333,True
ADD,uint16_t,16,16384,256,NA,False
ADD,uint16_t,16,4096,128,171.311,True
ADD,uint16_t,16,16384,64,NA,False
ADD,uint16_t,16,16384,16,96.639,True
ADD,uint16_t,16,16384,128,NA,False
ADD,uint16_t,16,32768,128,NA,False
ADD,uint32_t,1,256,8,0.72,True
ADD,uint16_t,16,32768,256,NA,False
ADD,uint16_t,16,8192,64,174.390333,True
ADD,uint16_t,16,32768,64,NA,False
ADD,uint32_t,1,256,16,1.183333,True
ADD,uint32_t,1,256,32,2.140333,True
ADD,uint16_t,16,32768,32,NA,False
ADD,uint32_t,1,256,64,4.055333,True
ADD,uint32_t,1,512,16,2.320333,True
ADD,uint32_t,1,256,128,7.856,True
ADD,uint32_t,1,512,8,1.389667,True
ADD,uint32_t,1,256,256,15.468,True
ADD,uint16_t,16,32768,8,140.647333,True
ADD,uint32_t,1,512,32,4.214,True
ADD,uint32_t,1,512,64,8.063333,True
ADD,uint32_t,1,1024,8,2.721667,True
ADD,uint32_t,1,512,128,15.656333,True
ADD,uint32_t,1,1024,16,4.581,True
ADD,uint32_t,1,1024,32,8.383,True
ADD,uint32_t,1,512,256,30.869333,True
ADD,uint16_t,16,16384,32,180.683,True
ADD,uint32_t,1,2048,8,5.405,True
ADD,uint32_t,1,1024,64,16.079333,True
ADD,uint32_t,1,2048,16,9.131333,True
ADD,uint32_t,1,1024,128,31.263,True
ADD,uint32_t,1,2048,32,16.712,True
ADD,uint32_t,1,1024,256,61.663667,True
ADD,uint32_t,1,2048,64,32.096,True
ADD,uint32_t,1,4096,8,10.735,True
ADD,uint32_t,1,4096,16,18.229333,True
ADD,uint32_t,1,2048,128,62.445,True
ADD,uint32_t,1,4096,32,33.388333,True
ADD,uint16_t,16,32768,16,193.212667,True
ADD,uint32_t,1,8192,8,21.418667,True
ADD,uint32_t,1,4096,64,64.102333,True
ADD,uint32_t,1,2048,256,123.321,True
ADD,uint32_t,1,8192,16,36.379333,True
ADD,uint32_t,1,8192,32,66.730333,True
ADD,uint32_t,1,4096,128,124.799333,True
ADD,uint32_t,1,16384,8,42.769333,True
ADD,uint32_t,1,8192,64,128.183,True
ADD,uint32_t,1,16384,16,72.704,True
ADD,uint32_t,1,4096,256,246.499667,True
ADD,uint32_t,1,16384,32,133.383667,True
ADD,uint32_t,1,32768,8,85.466,True
ADD,uint32_t,1,8192,128,249.545667,True
ADD,uint32_t,1,16384,64,256.261333,True
ADD,uint32_t,1,32768,16,145.316,True
ADD,uint32_t,2,256,8,0.716667,True
ADD,uint32_t,2,256,16,1.187333,True
ADD,uint32_t,2,256,32,2.139,True
ADD,uint32_t,2,256,64,4.053333,True
ADD,uint32_t,1,32768,32,266.713,True
ADD,uint32_t,1,8192,256,493.002333,True
ADD,uint32_t,2,512,8,1.380667,True
ADD,uint32_t,2,256,128,7.998333,True
ADD,uint32_t,2,256,256,15.468667,True
ADD,uint32_t,1,32768,256,NA,False
ADD,uint32_t,2,512,16,2.328,True
ADD,uint32_t,2,512,32,4.218333,True
ADD,uint32_t,1,16384,128,499.131333,True
ADD,uint32_t,2,512,64,8.089333,True
ADD,uint32_t,2,1024,8,2.724,True
ADD,uint32_t,2,1024,16,4.596333,True
ADD,uint32_t,2,512,128,15.733333,True
ADD,uint32_t,2,512,256,30.880333,True
ADD,uint32_t,2,1024,32,8.391,True
ADD,uint32_t,2,1024,64,16.077333,True
ADD,uint32_t,2,2048,8,5.396667,True
ADD,uint32_t,2,2048,16,9.145,True
ADD,uint32_t,2,1024,128,31.397,True
ADD,uint32_t,2,2048,32,16.726667,True
ADD,uint32_t,2,1024,256,61.691,True
ADD,uint32_t,1,32768,64,512.482667,True
ADD,uint32_t,2,2048,64,32.081667,True
ADD,uint32_t,2,4096,8,10.785667,True
ADD,uint32_t,2,4096,16,18.232,True
ADD,uint32_t,2,2048,128,62.821667,True
ADD,uint32_t,2,4096,32,33.397667,True
ADD,uint32_t,2,8192,8,21.412333,True
ADD,uint32_t,2,4096,64,64.113333,True
ADD,uint32_t,2,2048,256,123.308,True
ADD,uint32_t,2,8192,16,36.387,True
ADD,uint32_t,2,4096,128,126.157667,True
ADD,uint32_t,2,8192,32,66.734667,True
ADD,uint32_t,2,16384,8,42.77,True
ADD,uint32_t,2,8192,64,128.198,True
ADD,uint32_t,1,16384,256,985.953333,True
ADD,uint32_t,2,16384,16,72.748667,True
ADD,uint32_t,2,4096,256,246.532333,True
ADD,uint32_t,2,8192,128,251.617333,True
ADD,uint32_t,1,32768,128,998.040333,True
ADD,uint32_t,2,16384,32,133.41,True
ADD,uint32_t,2,32768,8,85.474667,True
ADD,uint32_t,2,16384,256,NA,False
ADD,uint32_t,2,32768,256,NA,False
ADD,uint32_t,2,16384,64,256.264333,True
ADD,uint32_t,2,32768,16,145.389333,True
ADD,uint32_t,4,256,8,0.724,True
ADD,uint32_t,2,32768,128,NA,False
ADD,uint32_t,4,256,16,1.217,True
ADD,uint32_t,4,256,32,2.147,True
ADD,uint32_t,4,256,64,4.07,True
ADD,uint32_t,4,256,128,8.012,True
ADD,uint32_t,4,512,8,1.39,True
ADD,uint32_t,4,256,256,15.485333,True
ADD,uint32_t,4,512,16,2.352,True
ADD,uint32_t,2,8192,256,493.002333,True
