operation,data_type,thread,iteration,buffer_size,latency,correct
ADD,uint16_t,1,256,8,0.997333,True
ADD,uint16_t,1,512,16,3.317,True
ADD,uint16_t,1,256,16,1.687667,True
ADD,uint16_t,1,256,32,2.990333,True
ADD,uint16_t,1,512,8,1.953667,True
ADD,uint16_t,1,256,64,5.633333,True
ADD,uint16_t,1,256,128,10.939333,True
ADD,uint16_t,1,256,256,21.548667,True
ADD,uint16_t,1,512,32,5.92,True
ADD,uint16_t,1,1024,8,3.836667,True
ADD,uint16_t,1,1024,16,6.606667,True
ADD,uint16_t,1,512,64,11.228,True
ADD,uint16_t,1,1024,32,11.783,True
ADD,uint16_t,1,512,128,21.839,True
ADD,uint16_t,1,512,256,43.039667,True
ADD,uint16_t,1,1024,64,22.392333,True
ADD,uint16_t,1,2048,8,7.621333,True
ADD,uint16_t,1,2048,16,13.158,True
ADD,uint16_t,1,2048,32,23.524,True
ADD,uint16_t,1,1024,128,43.626,True
ADD,uint16_t,1,4096,8,15.194333,True
ADD,uint16_t,1,2048,64,44.714,True
ADD,uint16_t,1,1024,256,86.056,True
ADD,uint16_t,1,4096,16,26.257333,True
ADD,uint16_t,1,2048,128,87.190333,True
ADD,uint16_t,1,4096,32,47.001667,True
ADD,uint16_t,1,8192,8,30.343667,True
ADD,uint16_t,1,4096,64,89.380667,True
ADD,uint16_t,1,8192,16,52.474333,True
ADD,uint16_t,1,2048,256,171.945333,True
ADD,uint16_t,1,8192,32,93.950667,True
ADD,uint16_t,1,4096,128,174.248333,True
ADD,uint16_t,1,16384,8,60.605333,True
ADD,uint16_t,1,8192,64,178.695,True
ADD,uint16_t,1,16384,16,104.901667,True
ADD,uint16_t,1,4096,256,343.849667,True
ADD,uint16_t,1,16384,32,187.876333,True
ADD,uint16_t,1,32768,8,121.174667,True
ADD,uint16_t,1,8192,128,348.476,True
ADD,uint16_t,1,16384,64,357.242333,True
ADD,uint16_t,1,32768,16,209.721667,True
ADD,uint16_t,2,256,8,0.988667,True
ADD,uint16_t,2,256,16,1.698,True
ADD,uint16_t,2,256,32,2.992,True
ADD,uint16_t,1,8192,256,687.830667,True
ADD,uint16_t,2,256,64,5.635667,True
ADD,uint16_t,1,32768,32,375.646,True
ADD,uint16_t,2,256,128,10.939,True
ADD,uint16_t,2,512,8,1.943333,True
ADD,uint16_t,2,256,256,21.553333,True
ADD,uint16_t,2,512,16,3.343,True
ADD,uint16_t,2,512,32,5.923,True
ADD,uint16_t,1,16384,128,696.841,True
ADD,uint16_t,2,512,64,11.227667,True
ADD,uint16_t,2,512,128,21.835333,True
ADD,uint16_t,2,1024,8,3.842667,True
ADD,uint16_t,2,1024,16,6.604,True
ADD,uint16_t,2,512,256,43.034,True
ADD,uint16_t,2,1024,32,11.793,True
ADD,uint16_t,2,1024,64,22.390333,True
ADD,uint16_t,2,2048,8,7.639,True
ADD,uint16_t,2,1024,128,43.607333,True
ADD,uint16_t,2,2048,16,13.161,True
ADD,uint16_t,2,1024,256,86.064667,True
ADD,uint16_t,2,2048,32,23.539667,True
ADD,uint16_t,1,32768,64,714.518,True
ADD,uint16_t,2,2048,64,44.733,True
ADD,uint16_t,2,4096,8,15.214,True
ADD,uint16_t,2,4096,16,26.278333,True
ADD,uint16_t,2,2048,128,87.189667,True
ADD,uint16_t,2,4096,32,47.038667,True
ADD,uint16_t,2,4096,64,89.389333,True
ADD,uint16_t,2,8192,8,30.362,True
ADD,uint16_t,2,2048,256,172.024,True
ADD,uint16_t,2,8192,16,52.480333,True
ADD,uint16_t,2,4096,128,174.264333,True
ADD,uint16_t,2,8192,32,93.986,True
ADD,uint16_t,2,8192,64,178.726667,True
ADD,uint16_t,1,16384,256,1375.372333,True
ADD,uint16_t,2,16384,8,60.638333,True
ADD,uint16_t,2,4096,256,343.884,True
ADD,uint16_t,2,16384,16,104.912,True
ADD,uint16_t,1,32768,128,1393.576,True
ADD,uint16_t,2,16384,32,187.866333,True
ADD,uint16_t,2,8192,128,348.498,True
ADD,uint16_t,2,32768,8,121.214667,True
ADD,uint16_t,2,16384,64,357.401333,True
ADD,uint16_t,2,32768,16,209.748333,True
ADD,uint16_t,2,8192,256,687.736333,True
ADD,uint16_t,4,256,8,1.005333,True
ADD,uint16_t,2,32768,32,375.744,True
ADD,uint16_t,4,256,16,1.682667,True
ADD,uint16_t,4,256,32,2.992667,True
ADD,uint16_t,4,256,64,5.644333,True
ADD,uint16_t,4,256,128,10.952,True
ADD,uint16_t,2,16384,128,696.886667,True
ADD,uint16_t,4,256,256,21.565333,True
ADD,uint16_t,4,512,8,1.947333,True
ADD,uint16_t,4,512,16,3.338667,True
ADD,uint16_t,4,512,32,5.93,True
ADD,uint16_t,4,512,64,11.226667,True
ADD,uint16_t,4,512,128,21.848,True
ADD,uint16_t,4,1024,8,3.850667,True
ADD,uint16_t,4,1024,16,6.605667,True
ADD,uint16_t,4,512,256,43.078,True
ADD,uint16_t,4,1024,32,11.804,True
ADD,uint16_t,4,1024,64,22.425667,True
ADD,uint16_t,4,1024,128,43.635333,True
ADD,uint16_t,4,2048,8,7.639,True
ADD,uint16_t,4,2048,16,13.184,True
ADD,uint16_t,2,32768,64,714.623,True
ADD,uint16_t,4,1024,256,86.071667,True
ADD,uint16_t,4,2048,32,23.57,True
ADD,uint16_t,4,2048,64,44.752333,True
ADD,uint16_t,4,4096,8,15.212,True
ADD,uint16_t,4,2048,128,87.199667,True
ADD,uint16_t,4,4096,16,26.296667,True
ADD,uint16_t,4,4096,32,47.066333,True
ADD,uint16_t,4,2048,256,172.034667,True
ADD,uint16_t,4,4096,64,89.488,True
ADD,uint16_t,4,8192,8,30.379667,True
ADD,uint16_t,4,4096,128,174.317333,True
ADD,uint16_t,4,8192,16,52.529,True
ADD,uint16_t,1,32768,256,2750.393,True
ADD,uint16_t,2,16384,256,1375.294,True
ADD,uint16_t,4,8192,32,94.078333,True
ADD,uint16_t,4,16384,8,60.699667,True
ADD,uint16_t,4,4096,256,344.006667,True
ADD,uint16_t,4,16384,16,105.006,True
ADD,uint16_t,4,8192,64,178.805333,True
ADD,uint16_t,2,32768,128,1393.743333,True
ADD,uint16_t,4,16384,32,188.04,True
ADD,uint16_t,4,8192,128,348.500333,True
ADD,uint16_t,4,32768,8,121.348,True
ADD,uint16_t,4,32768,16,209.928333,True
ADD,uint16_t,4,16384,64,357.649,True
ADD,uint16_t,4,8192,256,687.871333,True
ADD,uint16_t,8,256,8,1.037333,True
ADD,uint16_t,4,32768,256,NA,False
ADD,uint16_t,4,32768,32,376.068,True
ADD,uint16_t,8,256,16,1.713667,True
ADD,uint16_t,8,256,32,3.016,True
ADD,uint16_t,8,256,64,5.659,True
ADD,uint16_t,8,256,128,10.96,True
ADD,uint16_t,8,512,8,2.033,True
ADD,uint16_t,8,256,256,21.600667,True
ADD,uint16_t,8,512,16,3.361667,True
ADD,uint16_t,8,512,32,5.963333,True
ADD,uint16_t,4,16384,128,696.918333,True
ADD,uint16_t,8,512,64,11.262,True
ADD,uint16_t,8,1024,8,4.021667,True
ADD,uint16_t,8,512,128,21.865333,True
ADD,uint16_t,8,1024,16,6.676667,True
ADD,uint16_t,8,512,256,43.109333,True
ADD,uint16_t,8,1024,32,11.861333,True
ADD,uint16_t,8,1024,64,22.453667,True
ADD,uint16_t,8,2048,8,7.988667,True
ADD,uint16_t,8,1024,128,43.656667,True
ADD,uint16_t,8,2048,16,13.281667,True
ADD,uint16_t,8,2048,32,23.661333,True
ADD,uint16_t,4,32768,64,715.1,True
ADD,uint16_t,8,1024,256,86.122333,True
ADD,uint16_t,8,2048,64,44.830333,True
ADD,uint16_t,8,4096,8,15.933,True
ADD,uint16_t,8,4096,16,26.502333,True
ADD,uint16_t,8,2048,128,87.261,True
ADD,uint16_t,8,4096,32,47.289667,True
ADD,uint16_t,8,8192,8,31.799333,True
ADD,uint16_t,8,4096,64,89.615667,True
ADD,uint16_t,8,2048,256,172.097667,True
ADD,uint16_t,8,8192,16,52.925333,True
ADD,uint16_t,2,32768,256,2750.599667,True
ADD,uint16_t,8,4096,128,174.36,True
ADD,uint16_t,8,8192,32,94.469667,True
ADD,uint16_t,4,16384,256,1375.386,True
ADD,uint16_t,8,16384,8,63.551667,True
ADD,uint16_t,8,8192,64,179.096,True
ADD,uint16_t,8,16384,16,105.824667,True
ADD,uint16_t,8,4096,256,344.114333,True
ADD,uint16_t,8,16384,256,NA,False
ADD,uint16_t,8,16384,32,188.838667,True
ADD,uint16_t,8,32768,8,127.041333,True
ADD,uint16_t,8,8192,128,348.656,True
ADD,uint16_t,4,32768,128,1393.922667,True
ADD,uint16_t,8,32768,256,NA,False
ADD,uint16_t,16,256,8,1.816667,True
ADD,uint16_t,8,32768,128,NA,False
ADD,uint16_t,8,16384,64,358.080333,True
ADD,uint16_t,16,256,16,2.252333,True
ADD,uint16_t,8,32768,16,211.548,True
ADD,uint16_t,16,256,32,4.132667,True
ADD,uint16_t,16,256,64,7.883333,True
ADD,uint16_t,16,256,128,15.396,True
ADD,uint16_t,16,512,8,3.346667,True
ADD,uint16_t,16,512,16,4.427333,True
ADD,uint16_t,16,256,256,30.437333,True
ADD,uint16_t,16,512,32,8.183333,True
ADD,uint16_t,16,512,64,15.696,True
ADD,uint16_t,16,512,128,30.710333,True
ADD,uint16_t,16,1024,8,6.417667,True
