data_type,thread,iteration,buffer_size,latency,correct
uint16_t,1,256,16,1.164,True
uint16_t,1,256,64,3.749667,True
uint16_t,1,512,16,2.372,True
uint16_t,1,256,8,0.724667,True
uint16_t,1,256,32,2.054667,True
uint16_t,1,512,8,1.406,True
uint16_t,1,256,128,7.215,True
uint16_t,1,256,256,14.101,True
uint16_t,1,512,32,4.051333,True
uint16_t,1,1024,8,2.76,True
uint16_t,1,1024,16,4.519333,True
uint16_t,1,512,64,7.449,True
uint16_t,1,1024,32,8.06,True
uint16_t,1,512,128,14.356333,True
uint16_t,1,512,256,28.137,True
uint16_t,1,1024,64,14.87,True
uint16_t,1,2048,8,5.49,True
uint16_t,1,2048,16,8.944667,True
uint16_t,1,2048,32,16.073333,True
uint16_t,1,1024,128,28.672,True
uint16_t,1,2048,64,29.685333,True
uint16_t,1,1024,256,56.228,True
uint16_t,1,4096,8,10.931333,True
uint16_t,1,4096,16,17.857333,True
uint16_t,1,2048,128,57.268333,True
uint16_t,1,4096,32,32.089667,True
uint16_t,1,8192,8,21.809667,True
uint16_t,1,4096,64,59.297,True
uint16_t,1,2048,256,112.406,True
uint16_t,1,8192,16,35.651,True
uint16_t,1,8192,32,64.119,True
uint16_t,1,4096,128,114.478333,True
uint16_t,1,16384,8,43.555,True
uint16_t,1,8192,64,118.564,True
uint16_t,1,16384,16,71.233667,True
uint16_t,1,4096,256,224.661333,True
uint16_t,2,256,8,0.737667,True
uint16_t,1,16384,32,128.182667,True
uint16_t,2,256,16,1.163667,True
uint16_t,2,256,32,2.043667,True
uint16_t,1,8192,128,228.904333,True
uint16_t,2,256,64,3.797333,True
uint16_t,2,256,128,7.203333,True
uint16_t,2,512,8,1.424333,True
uint16_t,2,256,256,14.11,True
uint16_t,2,512,16,2.462,True
uint16_t,2,512,32,4.066333,True
uint16_t,1,16384,64,237.048333,True
uint16_t,2,512,64,7.479,True
uint16_t,2,512,128,14.362333,True
uint16_t,2,1024,8,2.777,True
uint16_t,2,1024,16,4.513,True
uint16_t,2,1024,32,8.071667,True
uint16_t,2,512,256,28.145667,True
uint16_t,2,1024,64,14.905,True
uint16_t,2,2048,8,5.514333,True
uint16_t,2,1024,128,28.671667,True
uint16_t,2,2048,16,8.962667,True
uint16_t,1,8192,256,449.403333,True
