operation,data_type,thread,iteration,buffer_size,latency,correct
ADD,uint16_t,1,256,8,0.875,True
ADD,uint16_t,1,512,8,1.72,True
ADD,uint16_t,1,512,16,2.921667,True
ADD,uint16_t,1,256,16,1.482333,True
ADD,uint16_t,1,256,32,2.671333,True
ADD,uint16_t,1,256,64,5.051667,True
ADD,uint16_t,1,256,128,9.857333,True
ADD,uint16_t,1,256,256,19.448333,True
ADD,uint16_t,1,512,32,5.302333,True
ADD,uint16_t,1,1024,8,3.383667,True
ADD,uint16_t,1,1024,16,5.787667,True
ADD,uint16_t,1,512,64,10.068333,True
ADD,uint16_t,1,512,128,19.675667,True
ADD,uint16_t,1,1024,32,10.559333,True
ADD,uint16_t,1,512,256,38.835333,True
ADD,uint16_t,1,1024,64,20.085333,True
ADD,uint16_t,1,2048,8,6.717333,True
ADD,uint16_t,1,2048,16,11.498667,True
ADD,uint16_t,1,2048,32,21.061667,True
ADD,uint16_t,1,1024,128,39.279333,True
ADD,uint16_t,1,4096,8,13.406333,True
ADD,uint16_t,1,2048,64,40.093667,True
ADD,uint16_t,1,1024,256,77.565667,True
ADD,uint16_t,1,4096,16,22.941,True
ADD,uint16_t,1,2048,128,78.506667,True
ADD,uint16_t,1,4096,32,42.048333,True
ADD,uint16_t,1,8192,8,26.753,True
ADD,uint16_t,1,4096,64,80.164,True
ADD,uint16_t,1,8192,16,45.823333,True
ADD,uint16_t,1,2048,256,155.088667,True
ADD,uint16_t,1,8192,32,84.05,True
ADD,uint16_t,1,4096,128,156.944667,True
ADD,uint16_t,1,16384,8,53.432333,True
ADD,uint16_t,1,16384,16,91.590667,True
ADD,uint16_t,1,8192,64,160.213333,True
ADD,uint16_t,2,256,8,0.893,True
ADD,uint16_t,1,4096,256,310.178333,True
ADD,uint16_t,2,256,16,1.485333,True
ADD,uint16_t,1,16384,32,168.025667,True
ADD,uint16_t,2,256,32,2.688667,True
ADD,uint16_t,2,256,64,5.081667,True
ADD,uint16_t,1,8192,128,313.806,True
ADD,uint16_t,2,512,8,1.716667,True
ADD,uint16_t,2,256,128,10.067667,True
ADD,uint16_t,2,256,256,19.449667,True
ADD,uint16_t,2,512,16,2.909,True
ADD,uint16_t,2,512,32,5.314333,True
ADD,uint16_t,2,512,64,10.100333,True
ADD,uint16_t,2,512,128,20.076,True
ADD,uint16_t,2,1024,8,3.386333,True
ADD,uint16_t,2,1024,16,5.774667,True
ADD,uint16_t,1,16384,64,320.405,True
ADD,uint16_t,2,512,256,38.840333,True
ADD,uint16_t,2,1024,32,10.563,True
ADD,uint16_t,2,1024,64,20.114667,True
ADD,uint16_t,2,2048,8,6.73,True
ADD,uint16_t,2,1024,128,40.096,True
ADD,uint16_t,2,2048,16,11.503667,True
ADD,uint16_t,2,2048,32,21.08,True
ADD,uint16_t,2,1024,256,77.582,True
ADD,uint16_t,2,2048,64,40.141333,True
ADD,uint16_t,1,8192,256,620.192333,True
ADD,uint16_t,2,4096,8,13.412667,True
ADD,uint16_t,2,4096,16,22.946667,True
ADD,uint16_t,2,2048,128,80.138667,True
ADD,uint16_t,2,4096,32,42.132333,True
ADD,uint16_t,2,8192,8,26.751,True
ADD,uint16_t,1,16384,128,627.711667,True
ADD,uint16_t,2,4096,64,80.190667,True
ADD,uint16_t,2,2048,256,155.138,True
ADD,uint16_t,2,8192,16,45.823667,True
ADD,uint16_t,2,4096,128,159.125333,True
ADD,uint16_t,2,8192,32,84.169,True
ADD,uint16_t,2,16384,8,53.430333,True
ADD,uint16_t,2,8192,64,160.302667,True
ADD,uint16_t,2,16384,16,91.599333,True
ADD,uint16_t,2,4096,256,310.189667,True
ADD,uint16_t,4,256,8,0.894333,True
ADD,uint16_t,2,16384,32,168.198333,True
ADD,uint16_t,4,256,16,1.534667,True
ADD,uint16_t,4,256,32,2.72,True
ADD,uint16_t,2,8192,128,315.984667,True
ADD,uint16_t,4,256,64,5.120333,True
ADD,uint16_t,4,256,128,10.067667,True
ADD,uint16_t,4,256,256,19.457667,True
ADD,uint16_t,4,512,8,1.746333,True
ADD,uint16_t,4,512,16,3.024333,True
ADD,uint16_t,4,512,32,5.389333,True
ADD,uint16_t,4,512,64,10.140667,True
ADD,uint16_t,2,16384,64,320.607333,True
ADD,uint16_t,4,1024,8,3.416,True
ADD,uint16_t,4,512,128,19.955667,True
ADD,uint16_t,4,1024,16,5.969667,True
ADD,uint16_t,1,16384,256,1240.276,True
ADD,uint16_t,4,512,256,38.850667,True
ADD,uint16_t,4,1024,32,10.732667,True
ADD,uint16_t,4,1024,64,20.196333,True
ADD,uint16_t,4,2048,8,6.805,True
ADD,uint16_t,4,1024,128,39.847,True
ADD,uint16_t,4,2048,16,11.62,True
ADD,uint16_t,2,8192,256,620.353667,True
ADD,uint16_t,4,2048,32,21.407333,True
ADD,uint16_t,4,1024,256,77.616667,True
ADD,uint16_t,4,2048,64,40.268333,True
ADD,uint16_t,4,4096,8,13.558,True
ADD,uint16_t,4,4096,16,23.510333,True
ADD,uint16_t,4,2048,128,79.603,True
ADD,uint16_t,4,4096,32,42.760667,True
ADD,uint16_t,4,8192,8,27.073,True
ADD,uint16_t,4,4096,64,80.372333,True
ADD,uint16_t,2,16384,128,640.598,True
ADD,uint16_t,4,2048,256,155.130667,True
ADD,uint16_t,4,8192,16,46.411,True
ADD,uint16_t,4,4096,128,160.200667,True
ADD,uint16_t,4,8192,32,85.488,True
ADD,uint16_t,4,16384,8,54.076333,True
ADD,uint16_t,4,8192,64,160.812667,True
ADD,uint16_t,4,16384,16,93.287333,True
ADD,uint16_t,4,4096,256,310.258333,True
ADD,uint16_t,8,256,8,0.984,True
ADD,uint16_t,4,16384,256,NA,False
ADD,uint16_t,4,16384,32,170.858333,True
ADD,uint16_t,8,256,16,1.555333,True
ADD,uint16_t,8,256,32,2.741667,True
ADD,uint16_t,8,256,64,5.147333,True
ADD,uint16_t,4,8192,128,320.355333,True
ADD,uint16_t,8,256,128,10.084333,True
ADD,uint16_t,8,512,8,1.925,True
ADD,uint16_t,8,512,16,3.042333,True
ADD,uint16_t,8,256,256,19.505,True
ADD,uint16_t,8,512,32,5.411,True
ADD,uint16_t,8,512,64,10.217,True
ADD,uint16_t,8,1024,8,3.786333,True
ADD,uint16_t,8,512,128,20.086667,True
ADD,uint16_t,4,16384,64,321.373667,True
ADD,uint16_t,8,1024,16,6.028667,True
ADD,uint16_t,8,1024,32,10.754333,True
ADD,uint16_t,8,512,256,38.882667,True
ADD,uint16_t,2,16384,256,1240.345667,True
ADD,uint16_t,8,1024,64,20.371667,True
ADD,uint16_t,8,2048,8,7.503667,True
ADD,uint16_t,8,2048,16,11.987667,True
ADD,uint16_t,8,1024,128,39.847333,True
ADD,uint16_t,8,2048,32,21.43,True
ADD,uint16_t,8,2048,64,40.675,True
ADD,uint16_t,8,4096,8,14.942,True
ADD,uint16_t,8,1024,256,77.663,True
ADD,uint16_t,8,4096,16,23.923333,True
ADD,uint16_t,4,8192,256,620.303667,True
